"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.689635350632359E9,"2023-07-18 08:09:10.632 UTC+09:00"
"PAUSE",2.607092108333745E1,1.689635376703208E9,"2023-07-18 08:09:36.703 UTC+09:00"
