"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.689633157078617E9,"2023-07-18 07:32:37.079 UTC+09:00"
"PAUSE",3.483502658333600E1,1.689633191913627E9,"2023-07-18 07:33:11.914 UTC+09:00"
