"event","experiment time","system time","system time text"
"START",0.000000000E0,1689928424.818,"2023-07-21 17:33:44.818 UTC+09:00"
"PAUSE",3.020838098E1,1689928455.027,"2023-07-21 17:34:15.027 UTC+09:00"
