"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.130016667E-1,-9.975573730E1,-6.448051453E1,-1.572890930E2
9.230436667E-1,-9.965588379E1,-6.450256348E1,-1.576286621E2
9.330846667E-1,-9.965011597E1,-6.460261536E1,-1.574169006E2
9.431266667E-1,-9.987550354E1,-6.462870789E1,-1.575591125E2
9.531686667E-1,-9.971195984E1,-6.453205872E1,-1.573539124E2
9.632081667E-1,-9.950662231E1,-6.431640625E1,-1.572097473E2
9.732501667E-1,-9.951751709E1,-6.446591187E1,-1.574647827E2
9.832921667E-1,-9.956674194E1,-6.458268738E1,-1.572922974E2
9.933331667E-1,-9.956883240E1,-6.447210693E1,-1.570498962E2
1.003375167E0,-9.964222717E1,-6.437654114E1,-1.569827271E2
1.013417167E0,-9.956748962E1,-6.461466980E1,-1.570789795E2
1.023458167E0,-9.954565430E1,-6.454908752E1,-1.571262512E2
1.033500167E0,-9.965336609E1,-6.471008301E1,-1.571937256E2
1.043542167E0,-9.958830261E1,-6.454017639E1,-1.571930847E2
1.053583167E0,-9.961567688E1,-6.453524780E1,-1.572744141E2
1.063625167E0,-9.940731812E1,-6.461393738E1,-1.571973572E2
1.073667167E0,-9.942268372E1,-6.476702881E1,-1.572028503E2
1.083708167E0,-9.953717041E1,-6.459443665E1,-1.568969116E2
1.093750167E0,-9.963005066E1,-6.466053772E1,-1.569434204E2
1.103792167E0,-9.947831726E1,-6.467835999E1,-1.569723511E2
1.113834167E0,-9.932127380E1,-6.481979370E1,-1.572377319E2
1.123875167E0,-9.931987000E1,-6.487944031E1,-1.572430725E2
1.133917167E0,-9.941888428E1,-6.464694214E1,-1.572952881E2
1.143959167E0,-9.978913879E1,-6.448370361E1,-1.572340393E2
1.154000167E0,-9.977188110E1,-6.463314819E1,-1.569714966E2
1.164042167E0,-9.965702820E1,-6.446794128E1,-1.569008179E2
1.174084167E0,-9.943557739E1,-6.460272217E1,-1.569659424E2
1.184125167E0,-9.944441223E1,-6.446391296E1,-1.570027161E2
1.194167167E0,-9.948799133E1,-6.454299927E1,-1.575581970E2
1.204209167E0,-9.958068848E1,-6.448225403E1,-1.573498840E2
1.214250167E0,-9.971878052E1,-6.459933472E1,-1.571732178E2
1.224292167E0,-9.975872803E1,-6.474899292E1,-1.571890564E2
1.234334167E0,-9.999572754E1,-6.478189087E1,-1.573290100E2
1.244375167E0,-9.984341431E1,-6.475598145E1,-1.572535400E2
1.254417167E0,-9.991981506E1,-6.476716614E1,-1.570935669E2
1.264459167E0,-9.978196716E1,-6.478372192E1,-1.573691406E2
1.274500167E0,-9.964299011E1,-6.463812256E1,-1.572769470E2
1.284542167E0,-9.977372742E1,-6.476095581E1,-1.571557922E2
1.294584167E0,-9.975004578E1,-6.456985474E1,-1.569264832E2
1.304625167E0,-9.964025879E1,-6.453761292E1,-1.569009094E2
1.314667167E0,-9.962951660E1,-6.452169800E1,-1.568822327E2
1.324709167E0,-9.968960571E1,-6.466957092E1,-1.570822449E2
1.334750167E0,-9.961756897E1,-6.466046143E1,-1.571750793E2
1.344792167E0,-9.983923340E1,-6.441526794E1,-1.570626831E2
1.354834167E0,-9.953660583E1,-6.449157715E1,-1.570929260E2
1.364875167E0,-9.984843445E1,-6.446273804E1,-1.573325195E2
1.374917167E0,-9.993513489E1,-6.445889282E1,-1.570741272E2
1.384959167E0,-9.976194763E1,-6.445413208E1,-1.571049194E2
1.395000167E0,-9.967388916E1,-6.457258606E1,-1.571712341E2
1.405042167E0,-9.960897827E1,-6.439530945E1,-1.568579102E2
1.415084167E0,-9.972547913E1,-6.444361877E1,-1.570993042E2
1.425125167E0,-9.976933289E1,-6.451202393E1,-1.570557556E2
1.435167167E0,-9.983161926E1,-6.439569092E1,-1.569690552E2
1.445209167E0,-1.000186768E2,-6.459188843E1,-1.570437927E2
1.455250167E0,-9.972540283E1,-6.423941040E1,-1.568576050E2
1.465292167E0,-9.962780762E1,-6.432081604E1,-1.571409302E2
1.475334167E0,-9.980723572E1,-6.426847839E1,-1.571582031E2
1.485376167E0,-9.963085938E1,-6.424652100E1,-1.569319763E2
1.495417167E0,-9.953855896E1,-6.436920166E1,-1.570364075E2
1.505459167E0,-9.966235352E1,-6.432470703E1,-1.571905823E2
1.515501167E0,-9.988536072E1,-6.450703430E1,-1.572174377E2
1.525542167E0,-9.969314575E1,-6.463285828E1,-1.572590332E2
1.535584167E0,-9.988265991E1,-6.474064636E1,-1.572267151E2
1.545626167E0,-9.974038696E1,-6.491630554E1,-1.573373718E2
1.555667167E0,-9.951377869E1,-6.490347290E1,-1.575391541E2
1.565709167E0,-9.974942017E1,-6.480966187E1,-1.573681335E2
1.575751167E0,-9.966786194E1,-6.440956116E1,-1.575163574E2
1.585792167E0,-9.982942200E1,-6.463204956E1,-1.572286987E2
1.595834167E0,-9.998484802E1,-6.467153931E1,-1.571104431E2
1.605876167E0,-9.998091125E1,-6.475956726E1,-1.572673645E2
1.615917167E0,-9.973583984E1,-6.451257324E1,-1.571817932E2
1.625959167E0,-9.966094971E1,-6.469194031E1,-1.572456665E2
1.636001167E0,-9.982926941E1,-6.458514404E1,-1.569770203E2
1.646042167E0,-9.968467712E1,-6.455915833E1,-1.573558960E2
1.656084167E0,-9.983027649E1,-6.454360962E1,-1.574861450E2
1.666126167E0,-9.989385986E1,-6.451686096E1,-1.575187988E2
1.676167167E0,-9.969384766E1,-6.440887451E1,-1.572972107E2
1.686209167E0,-9.984277344E1,-6.447920227E1,-1.571379700E2
1.696251167E0,-9.965565491E1,-6.453691101E1,-1.575415955E2
1.706292167E0,-9.977864075E1,-6.447128296E1,-1.573039246E2
1.716334167E0,-9.970785522E1,-6.460270691E1,-1.575015869E2
1.726376167E0,-9.986073303E1,-6.475289917E1,-1.574229736E2
1.736417167E0,-9.988656616E1,-6.459313965E1,-1.572600708E2
1.746459167E0,-1.000439148E2,-6.448126221E1,-1.572316284E2
1.756501167E0,-9.979531860E1,-6.467759705E1,-1.571806946E2
1.766542167E0,-9.987698364E1,-6.457153320E1,-1.574344788E2
1.776584167E0,-9.995025635E1,-6.458827209E1,-1.575223694E2
1.786626167E0,-1.000166321E2,-6.453271484E1,-1.571594238E2
1.796667167E0,-9.992930603E1,-6.437516785E1,-1.575950928E2
1.806709167E0,-9.983819580E1,-6.445330811E1,-1.572145691E2
1.816751167E0,-9.958537292E1,-6.435157776E1,-1.571401978E2
1.826792167E0,-9.974426270E1,-6.434341431E1,-1.569621887E2
1.836834167E0,-9.963667297E1,-6.437693787E1,-1.568638000E2
1.846876167E0,-9.994381714E1,-6.464410400E1,-1.569736633E2
1.856917167E0,-9.978819275E1,-6.455821228E1,-1.575438538E2
1.866959167E0,-9.979818726E1,-6.463562012E1,-1.573118286E2
1.877001167E0,-9.953350830E1,-6.447140503E1,-1.569126892E2
1.887042167E0,-9.957997131E1,-6.444270325E1,-1.570885315E2
1.897084167E0,-9.975721741E1,-6.432832336E1,-1.569940491E2
1.907126167E0,-9.969483948E1,-6.445182800E1,-1.569972839E2
1.917167167E0,-9.954922485E1,-6.433763123E1,-1.570995483E2
1.927209167E0,-9.946046448E1,-6.442695618E1,-1.571186523E2
1.937251167E0,-9.974392700E1,-6.453485107E1,-1.569898987E2
1.947292167E0,-9.966125488E1,-6.449586487E1,-1.572232056E2
1.957334292E0,-9.983996582E1,-6.451737976E1,-1.572240295E2
