time,x,y,z,absolute
8.969499992E-3,1.593263025E-2,-7.488172771E-3,-5.423467934E-2,5.702036374E-2
1.892449999E-2,1.657455403E-2,6.812364834E-3,-5.528191566E-2,5.811380521E-2
2.888050000E-2,5.300555807E-3,4.797391479E-3,-4.555097938E-2,4.610859550E-2
3.883550000E-2,3.754734714E-4,1.092830901E-3,-5.887152135E-2,5.888286072E-2
4.879150000E-2,-2.546937503E-3,-6.644513200E-3,-5.392886996E-2,5.439631846E-2
5.874650000E-2,-7.804159960E-3,-2.681214242E-2,-5.796871126E-2,6.434413243E-2
6.870249999E-2,9.796662647E-3,-3.939862129E-2,-5.227878571E-2,6.619136948E-2
7.865749999E-2,1.376961728E-2,-5.140570505E-2,-5.736469388E-2,7.824868673E-2
8.861250000E-2,2.155703958E-2,-4.789213143E-2,-6.110515773E-2,8.057420499E-2
9.856849999E-2,9.522647504E-3,-3.809934942E-2,-5.571519434E-2,6.816468384E-2
1.085233333E-1,5.846576113E-4,-1.622308841E-2,-5.691211939E-2,5.918208982E-2
1.184793333E-1,-8.834594674E-4,-1.080274462E-2,-5.182211816E-2,5.294347668E-2
1.284343333E-1,3.639928289E-3,-2.249286817E-3,-5.691094995E-2,5.707157430E-2
1.383903333E-1,1.524915470E-2,7.883540480E-3,-5.376631737E-2,5.644026765E-2
1.483453333E-1,1.598933911E-2,1.366716538E-2,-5.705537617E-2,6.080926183E-2
1.583013333E-1,1.177919766E-2,1.372219316E-2,-5.540763080E-2,5.828424859E-2
1.682563333E-1,-1.516045975E-3,2.577484637E-3,-6.513505876E-2,6.520366326E-2
1.782123333E-1,1.522742864E-4,-9.031467685E-3,-6.049704731E-2,6.116766571E-2
1.881673333E-1,1.236548153E-2,-2.628391958E-2,-6.633724630E-2,7.241809034E-2
1.981233333E-1,2.214144138E-2,-3.682929535E-2,-4.343428731E-2,6.109973598E-2
2.080783333E-1,1.018708306E-2,-4.295286960E-2,-4.912245870E-2,6.604348277E-2
2.180343333E-1,6.123185959E-3,-4.849653710E-2,-4.807463765E-2,6.856076358E-2
2.279893333E-1,7.449352741E-3,-3.968220668E-2,-5.331725121E-2,6.687974028E-2
2.379453333E-1,4.048730889E-3,-3.060491145E-2,-6.065316796E-2,6.805776672E-2
2.479003333E-1,1.559881819E-3,-2.179217302E-2,-5.032581568E-2,5.486364698E-2
2.578563333E-1,8.977458598E-3,6.700749253E-4,-5.511702418E-2,5.584738237E-2
2.678113333E-1,7.881562477E-3,4.848865250E-3,-5.407154202E-2,5.485765378E-2
2.777673333E-1,1.131977096E-2,-4.475563928E-4,-4.599010527E-2,4.736483193E-2
2.877223333E-1,1.196817236E-2,1.094836313E-3,-4.763960481E-2,4.913214592E-2
2.976783333E-1,2.403662447E-3,-8.431397178E-3,-5.378035069E-2,5.449029429E-2
3.076333333E-1,1.606613863E-3,-2.039070278E-2,-5.153794348E-2,5.544836866E-2
3.175893333E-1,4.165254934E-3,-2.770720724E-2,-4.375822306E-2,5.195979953E-2
3.275443333E-1,5.054250984E-3,-2.654391282E-2,-5.169347942E-2,5.832958576E-2
3.375003333E-1,1.142772518E-2,-3.367761870E-2,-4.900083661E-2,6.054632023E-2
3.474553333E-1,8.429565355E-3,-2.961573158E-2,-4.136729658E-2,5.156939359E-2
3.574113333E-1,3.014248805E-3,-3.079500077E-2,-5.708402753E-2,6.493076287E-2
3.673663333E-1,3.888325319E-3,-1.980649970E-2,-5.529068649E-2,5.885980391E-2
3.773223333E-1,1.095889726E-2,-1.434975243E-2,-4.751038134E-2,5.082567421E-2
3.872773333E-1,2.557069631E-3,-1.589277097E-2,-5.947846234E-2,6.161822990E-2
3.972333333E-1,1.262765606E-2,-1.698958986E-2,-1.351934731E-2,2.511725727E-2
4.071883333E-1,-1.417173212E-3,2.104801205E-3,-1.045341825E-1,1.045649745E-1
4.171443333E-1,1.340349935E-2,-5.365272607E-3,-2.684749067E-2,3.048323638E-2
4.270993333E-1,3.390270453E-3,8.357621762E-3,-5.738515913E-2,5.808958826E-2
4.370553333E-1,-7.035790142E-3,1.123607584E-2,-5.589002609E-2,5.744081093E-2
4.470103333E-1,-3.022151683E-3,4.664655116E-3,-5.559181809E-2,5.586897750E-2
4.569663333E-1,5.895217638E-3,-2.219739877E-2,-5.918668628E-2,6.348654925E-2
4.669213333E-1,2.277673222E-2,-4.508728604E-2,-5.050590992E-2,7.143171445E-2
4.768773333E-1,2.064265382E-2,-6.158243671E-2,-5.470011771E-2,8.491536107E-2
4.868323333E-1,1.278384067E-2,-5.477859830E-2,-6.082507610E-2,8.284812187E-2
4.967883333E-1,3.543403549E-3,-5.938593929E-2,2.797307968E-3,5.955728692E-2
5.067433333E-1,-1.259413507E-2,-4.040184818E-2,-1.103708732E-1,1.182059695E-1
5.166993333E-1,2.791399539E-2,-3.167630408E-2,-2.549970746E-2,4.932356901E-2
5.266543333E-1,1.913302151E-2,-5.854259720E-3,-6.382118940E-2,6.688414675E-2
5.366103333E-1,4.382451586E-3,1.496840155E-2,-5.334414840E-2,5.557748731E-2
5.465653333E-1,-1.053273574E-2,2.652963283E-2,-5.558889449E-2,6.248908009E-2
