time,x,y,z,absolute
1.025729167E-2,-7.344692149E-3,-1.978754879E-2,-4.692682922E-2,5.145501812E-2
2.021229167E-2,1.264592861E-3,-2.313302865E-2,-5.366340637E-2,5.845081174E-2
3.016729167E-2,5.858517224E-3,-1.913873169E-2,-4.632982850E-2,5.046846821E-2
4.012229166E-2,-2.611754802E-3,-1.232533217E-2,-5.306757510E-2,5.454266773E-2
5.007729166E-2,2.701690004E-3,-1.327700763E-2,-5.770909488E-2,5.927830710E-2
6.003229166E-2,-5.118732525E-3,-1.193763893E-2,-4.229115665E-2,4.424082477E-2
6.998829167E-2,-2.540119558E-3,-9.913405962E-3,-6.040407658E-2,6.126483732E-2
7.994329167E-2,1.381135178E-3,-1.187701061E-2,-4.468617618E-2,4.625824529E-2
8.989829166E-2,-7.477777975E-3,-1.949664524E-2,-4.618247867E-2,5.068389956E-2
9.985329166E-2,-9.770880081E-4,-2.620883767E-2,-5.680979311E-2,6.257164267E-2
1.098082917E-1,1.225717556E-2,-3.381609265E-2,-4.917566836E-2,6.092629016E-2
1.197642917E-1,1.062121599E-3,-2.544343715E-2,-5.650983095E-2,6.198272009E-2
1.297192917E-1,5.428676067E-3,-1.838722743E-2,-4.767819643E-2,5.138843324E-2
1.396742917E-1,9.529899422E-3,-7.330873534E-3,-4.558255434E-2,4.714159469E-2
1.496292917E-1,4.629165258E-3,-3.592099892E-3,-5.546259463E-2,5.577124488E-2
1.595842917E-1,-2.642982588E-3,-8.956454303E-3,-5.396687686E-2,5.476885273E-2
1.695392917E-1,-6.431622016E-3,-1.697891640E-2,-5.950477481E-2,6.221308214E-2
1.794952917E-1,-9.555928668E-3,-2.274679265E-2,-5.441418886E-2,5.974643335E-2
1.894502917E-1,-4.597377875E-3,-2.300863828E-2,-5.591283023E-2,6.063644039E-2
1.994052917E-1,-1.774607110E-4,-2.449604203E-2,-5.202033877E-2,5.749959316E-2
2.093602917E-1,5.580756208E-3,-2.097838450E-2,-5.411481142E-2,5.830651997E-2
2.193152917E-1,-2.765625652E-3,-1.980363320E-2,-5.157068789E-2,5.531155777E-2
2.292712917E-1,9.301686706E-3,-1.522677996E-2,-5.935450137E-2,6.197848849E-2
2.392262917E-1,6.237624648E-3,-9.545579553E-3,-5.471648991E-2,5.589204164E-2
2.491812917E-1,4.449365661E-3,-6.749486709E-3,-5.351956487E-2,5.412666856E-2
2.591362917E-1,5.791160041E-3,-1.126344583E-2,-5.980590641E-2,6.113222709E-2
2.690912917E-1,-3.683796111E-3,-1.282227698E-2,-5.965738714E-2,6.113088402E-2
2.790462917E-1,-3.104793853E-3,-1.672395953E-2,-5.396980047E-2,5.658683531E-2
2.890022917E-1,-1.921152952E-3,-1.732566543E-2,-5.052695990E-2,5.344944516E-2
2.989572917E-1,-3.921608767E-3,-2.156840511E-2,-3.495816350E-2,4.126315923E-2
3.089122917E-1,-7.813520073E-3,-2.206158120E-2,-5.217236638E-2,5.718146793E-2
3.188672917E-1,-5.390216920E-3,-1.067053816E-2,-5.396863103E-2,5.527683021E-2
3.288222917E-1,1.547869903E-3,-1.318531598E-2,-5.262026310E-2,5.426914913E-2
3.387772917E-1,4.988017562E-4,-6.671325881E-3,-5.800964177E-2,5.839412582E-2
3.487332917E-1,-2.399231354E-4,-1.143476011E-2,-4.393831730E-2,4.540250025E-2
3.586882917E-1,1.003004649E-2,-1.869816226E-2,-5.261967838E-2,5.673670467E-2
3.686432917E-1,1.135629094E-2,-1.583330068E-2,-6.235178411E-2,6.532536824E-2
3.785982917E-1,2.130220376E-2,-2.345606904E-2,-4.498730779E-2,5.502571146E-2
3.885532917E-1,1.824852736E-2,-2.558623712E-2,-3.016637027E-2,4.356230224E-2
3.985085417E-1,-1.109603959E-2,-1.070063305E-2,-8.360465884E-2,8.501390841E-2
4.084645417E-1,-3.123128072E-3,-1.224874735E-2,-6.489181459E-2,6.611152200E-2
4.184195417E-1,-7.985373395E-3,-1.470940188E-3,-4.034169495E-2,4.115072545E-2
4.283745417E-1,-1.242239595E-2,-7.646367364E-3,-2.971262634E-2,3.310019666E-2
4.383295417E-1,-4.153891692E-3,-9.554414330E-3,-4.438212097E-2,4.558853267E-2
4.482845417E-1,-3.114035195E-3,-1.884710181E-2,-4.857398987E-2,5.219523880E-2
4.582405417E-1,-2.832731588E-3,-3.125943415E-2,-4.752733827E-2,5.695633831E-2
4.681955417E-1,3.730569268E-5,-3.360416763E-2,-6.504150331E-2,7.320955284E-2
4.781505417E-1,-1.334878220E-4,-2.525759619E-2,-4.737764955E-2,5.368990278E-2
4.881055417E-1,-5.849006362E-3,-8.836449338E-3,-5.306699038E-2,5.411468544E-2
4.980605417E-1,3.569387114E-3,-1.155959817E-2,-4.752850771E-2,4.904410137E-2
5.080155417E-1,-8.167644355E-3,-5.413324842E-3,-5.127014101E-2,5.219810206E-2
5.179715417E-1,-4.085664279E-3,-3.336923746E-3,-5.920481265E-2,5.943936030E-2
