"event","experiment time","system time","system time text"
"START",0.000000000E0,1685856298.640,"2023-06-04 14:24:58.640 UTC+09:00"
"PAUSE",1.893621179E2,1685856488.002,"2023-06-04 14:28:08.002 UTC+09:00"
