"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.688989091130626E9,"2023-07-10 20:38:11.131 UTC+09:00"
"PAUSE",2.322242095833644E1,1.688989114347052E9,"2023-07-10 20:38:34.347 UTC+09:00"
