"event","experiment time","system time","system time text"
"START",0.000000000E0,1685855886.846,"2023-06-04 14:18:06.846 UTC+09:00"
"PAUSE",2.327964692E2,1685856119.643,"2023-06-04 14:21:59.643 UTC+09:00"
