"event","experiment time","system time","system time text"
"START",0.000000000E0,1685855693.503,"2023-06-04 14:14:53.503 UTC+09:00"
"PAUSE",1.576807420E2,1685855851.184,"2023-06-04 14:17:31.184 UTC+09:00"
