"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.518522310E1,1.371153453E2,1.860151130E2,NaN,NaN,1.347900009E1,1.814139724E0
5.781563148E0,3.518522410E1,1.371153445E2,1.860151144E2,NaN,NaN,1.396700001E1,1.542538285E0
2.898609352E1,3.518512019E1,1.371152221E2,-3.918451012E1,0.000000000E0,NaN,2.443191071E2,8.556775665E1
