,time,pitch,roll,yaw,acc_x,acc_y,acc_z,norm
0,0.1186365216966292,-0.015602116119932586,-0.028197608243340225,0.013971654912302026,-0.32205645099392244,1.3628065921573034,9.752439370202248,9.854849507433476
1,0.3176832587865169,0.12018986273090608,-0.006171062601492211,-0.11806082798130374,0.06338291408048315,1.1541672475842697,9.742915089224718,9.814101366318996
2,0.5167151678539326,0.1018168710120567,0.0014723810923396679,-0.09670112257223983,-0.014309883968830336,0.9526122694314607,9.838943920606742,9.891016797203205
3,0.7157446251797752,0.09568453208607139,-0.008775650725221884,-0.0946095617269794,0.08486454687014607,0.9178020759853932,9.671701741943822,9.716315890496654
4,0.9147780758089888,0.09457734119840393,-0.015650849632066272,-0.09306322718635342,0.15392705454764044,0.9127677397707866,9.776508695719102,9.82080161387692
5,1.1138083458314607,0.08713007856823177,-0.014170733429351165,-0.0858665567693287,0.13858879249056177,0.837864323947191,9.740098856842698,9.777356558133677
6,1.3128397556179774,0.09393815136934591,-0.02326860649426867,-0.0891159612023112,0.2276542222744944,0.8704497325044944,9.738687343876405,9.782525946731615
7,1.511871714741573,0.08760014263103846,-0.011132649192478009,-0.08570944158337851,0.10849703185467417,0.8326955605078651,9.695354440438201,9.733129494896982
8,1.7109029716292137,0.09308910461489717,-0.014059664493744512,-0.09183883833593529,0.13734533123078652,0.8963338860011235,9.736025692348313,9.778817709475314
9,1.9099349403483146,0.0892220919997327,-0.012807854030320424,-0.08822342069338672,0.12573073126674159,0.8652406361685394,9.781254061213483,9.820374592389605
10,2.1089650073483144,0.08654662278456839,-0.017628148177532894,-0.08462620631339719,0.17164469577011235,0.8238434604011237,9.713145995393258,9.749785417278387
11,2.307997246235955,0.08378724692982034,-0.016045736884578374,-0.08215030885227795,0.15765071635494382,0.8058636838123594,9.786180785494382,9.820659128446756
12,2.5070285216404495,0.08465658401626763,-0.016831711004799185,-0.08286608276700004,0.16392851487067414,0.8061661472505618,9.705066777370787,9.739960087927747
13,2.70606000547191,0.08664793246102916,-0.013670035094474247,-0.08540795900696109,0.1337762615688764,0.8353639573191011,9.75629070364045,9.79309179360123
14,2.905091491415731,0.08725265263598754,-0.01582651050453862,-0.08553176877374188,0.15435722448705616,0.8345775550741573,9.734446096943818,9.771738723598517
15,3.1041227632696624,0.08515670610835013,-0.013711757720036072,-0.08387179096828334,0.13436102442680903,0.8204491473292134,9.757043517033708,9.79264963771982
16,3.3031547114269664,0.08769936240646234,-0.0147768379248207,-0.08607884461644613,0.1444565849103146,0.8408217456943821,9.742928558516853,9.780680646153137
17,3.5021864052134832,0.0895393219596578,-0.016632662956574475,-0.0878661736834651,0.16234226171022473,0.8569732991528091,9.726931614764046,9.766103365891507
18,3.701218012404494,0.08970843656129258,-0.021704159208649144,-0.08681962920909447,0.2118051318289888,0.847112986477528,9.732651474764046,9.772114540948376
19,3.9002462299662914,0.08666920302445766,-0.016922561181358126,-0.08483988900509012,0.1657500181620225,0.8305514287393259,9.764833600404494,9.801768263128913
20,4.099281517831461,0.08487484946465414,-0.013308080159577929,-0.08376180861409746,0.129635871504382,0.8151930048224719,9.708965312179775,9.744095795267388
21,4.298313015382022,0.08875050616104652,-0.014966363815882943,-0.08739669428097457,0.14633857952853932,0.8539822684191012,9.745684366550561,9.784246174601819
22,4.497344281258427,0.08389676778591751,-0.010783523096880151,-0.08312435904381651,0.10502878250438202,0.809782267955056,9.719605263696629,9.75395890975166
23,4.696376130573033,0.0838769906323926,-0.017461630438392006,-0.08190583994733909,0.17147666115483146,0.8027718355112359,9.777637953146066,9.81217671340835
24,4.895407724101124,0.07766942079394007,-0.018596860132572765,-0.07526920933661581,0.18146467945393258,0.7340991624269662,9.731965986539327,9.761515844808532
25,5.094439568674158,0.07812781694482922,-0.01647144055211562,-0.07613687957563348,0.16096437213707865,0.744940799947191,9.767354183,9.797422810702116
26,5.293470970280899,0.07868318223439329,-0.018872056798481005,-0.07634278438333195,0.18469767841685397,0.7463254098168539,9.755450559483146,9.785812113776139
27,5.492503270921349,0.07601765648481876,-0.01573528279798463,-0.07428359146396614,0.15390689009584269,0.7257646168235954,9.75092705719101,9.779199419349794
28,5.691533767157304,0.07934621537115158,-0.021986952722139762,-0.07614307024643707,0.2151994447348315,0.7444434165876405,9.755531161022471,9.78638034430527
29,5.890565881280899,0.07378852983031715,-0.017180881787150305,-0.07158710385428792,0.1679815267833708,0.6995242238078652,9.75276867724719,9.779469291317492
30,6.089597577775281,0.06993653148977307,-0.008652682869135347,-0.06926605307130926,0.08438732637539327,0.6764832266258427,9.7495290134382,9.773475522290925
31,6.288629385348314,0.07185443328788794,-0.01052821005945012,-0.07098211193030154,0.10319383739707866,0.6950208765752809,9.773275718213483,9.798654720085953
32,6.487661933550562,0.08085912491861391,-3.4578975977635006e-05,-0.07845620234120171,-0.003159063670112359,0.7758727428651684,9.866898290348313,9.89941611117884
33,6.686692425022471,0.08879728444577437,0.008904301422942592,-0.08030527085113384,-0.24096261806688762,1.1893874520516854,10.263858131101124,10.345652988953892
34,6.885724727808989,0.15092845717417885,0.08184538672907743,-0.0892829308392453,-1.1065998189617978,1.8533957332370787,9.384200053337079,9.655925627515453
35,7.08475384969663,0.2475405700842912,0.10676113903705496,-0.1033506768485945,-0.443982866078764,2.6556634675168542,9.415938612977529,9.809420005605773
36,7.283788405202247,0.35495710537867325,0.04612761513359878,-0.08554155255150551,-0.17784856102510227,3.958400795932585,8.950131335943821,9.841029307522668
