"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.244310417E-1,-8.071899414E-2,2.134166336E1,-4.600665283E1,5.071572947E1
6.343870417E-1,-1.588058472E-1,2.131278610E1,-4.607475281E1,5.076556822E1
6.443440417E-1,-2.387542725E-1,2.133238220E1,-4.641079712E1,5.107924846E1
6.543000417E-1,-1.985702515E-1,2.150075150E1,-4.648910522E1,5.122068576E1
6.642570417E-1,-1.035537720E-1,2.140599823E1,-4.663963318E1,5.131747136E1
6.742130417E-1,-9.641265869E-2,2.138303757E1,-4.628421021E1,5.098501452E1
6.841690417E-1,1.891250610E-1,2.149738693E1,-4.603300476E1,5.080561918E1
6.941260417E-1,1.956405640E-1,2.155444717E1,-4.618150330E1,5.096433768E1
7.040820417E-1,1.341247559E-2,2.175319290E1,-4.628146362E1,5.113878622E1
7.140380417E-1,-1.339492798E-1,2.168231201E1,-4.621839905E1,5.105174833E1
7.239950417E-1,9.719848633E-3,2.169225693E1,-4.630119324E1,5.113075983E1
7.339510417E-1,2.037048340E-3,2.141225433E1,-4.604661560E1,5.078164479E1
7.439070417E-1,-1.131439209E-2,2.124774551E1,-4.641688538E1,5.104893795E1
7.538640417E-1,-1.886215210E-1,2.146609497E1,-4.608760071E1,5.084187005E1
7.638200417E-1,5.027770996E-3,2.151786804E1,-4.621134949E1,5.097555779E1
7.737770417E-1,-2.728805542E-1,2.151086044E1,-4.619639587E1,5.095977406E1
7.837330417E-1,-4.380950928E-1,2.156612015E1,-4.591020203E1,5.072510341E1
7.936890417E-1,-7.843017578E-2,2.147039413E1,-4.614422607E1,5.089473033E1
8.036460417E-1,7.524871826E-2,2.151951981E1,-4.617605591E1,5.094431798E1
8.136020417E-1,-1.117324829E-1,2.130282211E1,-4.617353821E1,5.085094242E1
8.235580417E-1,1.862487793E-1,2.149124527E1,-4.578572083E1,5.057905242E1
8.335150417E-1,-2.191619873E-1,2.155820084E1,-4.605114746E1,5.084793248E1
8.434710417E-1,-8.671569824E-2,2.150328064E1,-4.584539795E1,5.063792167E1
8.534270417E-1,2.198028564E-2,2.133885193E1,-4.583085632E1,5.055506380E1
8.633840417E-1,-4.734802246E-2,2.156471634E1,-4.616871643E1,5.095674253E1
8.733400417E-1,-2.378921509E-1,2.146668625E1,-4.595069885E1,5.071826038E1
8.832970417E-1,-2.084808350E-1,2.149676132E1,-4.600811768E1,5.078288199E1
8.932530417E-1,-1.487731934E-3,2.146355820E1,-4.597174072E1,5.073544400E1
9.032090417E-1,-2.576980591E-1,2.131581116E1,-4.556982422E1,5.030943344E1
