"event","experiment time","system time","system time text"
"START",0.000000000E0,1707174667.136,"2024-02-06 08:11:07.136 UTC+09:00"
"PAUSE",1.799726628E2,1707174847.108,"2024-02-06 08:14:07.108 UTC+09:00"
