"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.550092500E-1,1.488417736E-3,7.694889209E-4,6.893333048E-4
8.649662500E-1,-2.461422700E-4,-6.748125888E-4,1.550130779E-3
8.749222500E-1,4.020711640E-4,-1.908388804E-3,1.168176532E-4
8.848792500E-1,-9.098818991E-4,-1.611522632E-3,7.495337632E-4
8.948362500E-1,-1.926927362E-4,2.027420793E-3,1.951951068E-3
9.047922500E-1,-2.328403527E-3,-4.509228747E-4,-1.962529495E-4
9.147492500E-1,4.735083785E-4,7.309879875E-4,2.399040386E-5
9.247062500E-1,-8.209508378E-4,1.537890639E-3,1.427862793E-3
9.346622500E-1,-1.444130437E-3,7.232297212E-4,7.998894434E-4
9.446192500E-1,1.151882578E-3,1.350047998E-3,3.844746388E-4
9.545762500E-1,-3.466571448E-3,6.565607619E-4,-1.547116321E-3
9.645332500E-1,3.925242927E-4,-1.014445210E-3,5.769648124E-4
9.744892500E-1,-3.741998225E-4,2.105980646E-3,-3.325045109E-4
9.844462500E-1,-1.674474683E-3,-7.464484661E-4,-3.514075652E-4
9.944032083E-1,1.831044327E-3,-3.656164627E-4,4.653837532E-4
1.004359208E0,-3.853016533E-4,-2.913661301E-4,-1.500433777E-3
1.014316208E0,1.621390344E-3,-5.539538688E-4,1.514264382E-3
1.024273208E0,-2.270378172E-3,6.179580232E-4,1.357898582E-3
1.034229208E0,1.319030300E-3,-5.152169615E-4,-4.884707741E-4
1.044186208E0,1.407489297E-3,6.141114281E-4,4.720925353E-4
1.054143208E0,3.809179179E-5,-4.205266596E-4,9.109815583E-4
1.064099208E0,3.873301903E-4,-1.189226517E-3,-1.777587458E-4
1.074056208E0,7.753528189E-4,1.863288693E-3,2.051839838E-3
1.084013208E0,-1.478134422E-3,-1.106266282E-4,5.073826760E-4
1.093969208E0,-9.408965707E-5,1.294404501E-5,-3.512203693E-4
1.103926208E0,-1.511716750E-3,-4.834804568E-4,-5.987752229E-5
1.113883208E0,1.809883397E-4,-2.757538459E-4,1.449335832E-3
1.123840208E0,-1.453212230E-3,-2.463908866E-3,1.008565305E-3
1.133796208E0,-6.277579814E-5,-6.582857459E-4,4.109521396E-4
1.143753208E0,1.674794126E-3,2.945801476E-3,-8.011003956E-4
1.153710208E0,-4.583979025E-4,-2.545902971E-3,3.582729260E-3
1.163666208E0,1.924128970E-3,-6.103422493E-6,-2.223269548E-3
1.173623208E0,-9.997556917E-4,-8.521896671E-4,-1.139363274E-3
1.183580208E0,4.823886557E-4,-1.831185655E-4,1.502246363E-3
1.193536208E0,3.239306388E-4,1.790550072E-3,1.535003306E-3
1.203493208E0,1.944329124E-4,-2.061565407E-3,-1.523165498E-3
1.213450208E0,1.382202841E-3,7.480695494E-4,-2.533704974E-4
1.223406208E0,-2.409789246E-3,1.493951422E-3,-2.151483670E-3
1.233363208E0,-3.561872989E-3,2.502551943E-4,3.156689927E-4
1.243320208E0,2.732182154E-3,4.196332011E-4,-9.438209236E-5
1.253277208E0,-1.959633082E-4,2.303553279E-3,1.857825555E-4
1.263233208E0,-9.462148882E-4,-2.786898054E-3,8.539431728E-4
1.273190208E0,-1.633843174E-3,2.810635197E-4,1.321594231E-3
1.283147208E0,-2.144765807E-3,-6.738782977E-4,9.652702138E-4
1.293103208E0,-3.439062042E-3,-1.652589999E-3,-7.322286256E-4
1.303060208E0,1.141930348E-3,-1.557777636E-3,-1.641372219E-4
1.313017208E0,-2.695152303E-3,2.518401889E-4,1.257724361E-3
1.322973208E0,5.686632358E-3,-1.203633379E-3,-9.043356404E-4
1.332930208E0,5.246273940E-4,-2.233238774E-4,1.012874302E-3
1.342887208E0,-3.421003930E-3,-2.012968529E-3,1.106940908E-3
1.352843208E0,1.215825556E-3,-1.414023573E-3,-8.438243531E-4
1.362800208E0,3.247009590E-4,-1.639815629E-3,-5.722604692E-4
1.372757208E0,-1.566143474E-3,1.854251721E-3,1.374244224E-3
1.382713208E0,-1.664448064E-4,1.912866719E-3,5.752746947E-4
1.392670208E0,-1.128911274E-3,5.160387373E-4,-1.067607664E-4
1.402627208E0,1.415072009E-3,1.466743532E-3,5.230435636E-4
1.412583208E0,-5.124586634E-3,-1.141556306E-3,-2.663303167E-5
1.422540208E0,4.058439517E-4,-6.896814448E-4,-1.555430237E-3
1.432497208E0,1.483092550E-3,1.401432557E-3,-6.060134619E-4
1.442454208E0,5.643785698E-4,-3.012327710E-3,-1.192760654E-3
1.452410208E0,5.499975523E-4,-1.184600405E-3,1.508217305E-3
1.462367208E0,1.641796203E-3,5.398704670E-4,2.887633629E-3
1.472324208E0,-4.691421054E-5,3.356059897E-4,1.821280457E-4
1.482280208E0,-1.227007480E-3,-1.251750975E-3,-8.217315190E-4
1.492237208E0,-5.666497163E-3,-8.370967116E-4,1.444352325E-3
1.502194208E0,-3.446314950E-4,-1.083361683E-3,-1.477676444E-3
1.512150208E0,2.021853346E-3,-1.184828114E-3,-2.923035063E-4
1.522107208E0,1.100652968E-3,2.666321816E-3,1.756529557E-3
1.532064208E0,-4.024351947E-4,-2.047739457E-3,-4.704059102E-4
1.542020208E0,-6.166070234E-4,4.342427710E-4,-1.556338277E-3
1.551977208E0,2.304081805E-3,5.330460845E-4,-1.746905036E-4
1.561934208E0,-3.136880696E-5,-1.467727590E-3,2.137501724E-4
1.571890208E0,1.304739155E-3,-2.934064018E-3,1.546279527E-4
1.581847208E0,-1.238905126E-3,-1.011470566E-3,-2.777940128E-3
1.591804208E0,2.474050270E-4,-1.055678818E-3,1.197360223E-3
1.601760208E0,2.756675938E-3,-5.393019528E-4,-2.479318995E-3
1.611717208E0,2.337494399E-3,-1.078591915E-3,8.307239041E-4
1.621674208E0,7.023593644E-4,8.177577402E-4,1.216275152E-3
1.631631208E0,6.405740278E-4,-1.008638181E-3,-1.616529189E-3
1.641587208E0,-2.979688812E-3,1.101311063E-3,-1.058702357E-3
1.651544208E0,-2.279543784E-3,-1.707791234E-3,-3.870530054E-4
1.661501208E0,-3.173830919E-4,-3.057010937E-3,-1.817435957E-3
1.671457208E0,3.121880582E-4,-1.495333156E-3,-1.399053261E-3
1.681414208E0,4.386577057E-4,-1.636402216E-3,-7.395492867E-4
1.691371208E0,1.963583753E-3,-2.861795365E-4,-7.312935777E-4
1.701327208E0,-4.206500016E-3,-1.581369434E-3,-4.971777089E-4
1.711284208E0,2.470045118E-3,-6.761611439E-4,-2.194102854E-4
1.721241208E0,-1.136794686E-3,4.941162770E-4,-9.156046435E-4
1.731197208E0,-4.824560601E-4,2.767124213E-3,6.958739832E-4
1.741154208E0,1.362800132E-3,-7.351434906E-4,9.504465852E-4
1.751111208E0,1.088228193E-3,1.863302663E-3,-8.407956921E-4
1.761067208E0,1.806496177E-3,-1.929183607E-3,-2.641159110E-3
1.771024208E0,7.891686400E-4,-6.585895317E-4,1.582880737E-3
1.780981208E0,1.479224768E-3,-8.826265694E-4,-1.378773246E-3
1.790937208E0,1.263387967E-4,-1.034959219E-3,2.292128047E-3
1.800894208E0,-1.010209555E-3,1.188366208E-3,1.091347076E-4
1.810851208E0,1.277590636E-4,9.627965046E-4,1.658827998E-3
