"event","experiment time","system time","system time text"
"START",0.000000000E0,1694778943.072,"2023-09-15 20:55:43.072 UTC+09:00"
"PAUSE",2.966868137E1,1694778972.740,"2023-09-15 20:56:12.740 UTC+09:00"
