"event","experiment time","system time","system time text"
"START",0.000000000E0,1696243834.367,"2023-10-02 19:50:34.367 UTC+09:00"
"PAUSE",1.165421607E1,1696243846.021,"2023-10-02 19:50:46.021 UTC+09:00"
