time,x,y,z
0.0,0.0,0.0,-0.0
2.613478804,0.499997283,0.0016483265,-0.0
3.289204325,0.9999471983,-0.0054285521,-0.0
3.913701773,1.499932148,-0.0015491157,-0.0
4.604064429,1.9992545201,-0.0275715821,-0.0
5.162697294,2.495917574,0.0300982615,-0.0
5.801832971,2.9948047279,0.0634390417,-0.0
6.375103544,3.4899640215,0.132845626,-0.0
6.984965836,3.9888657282,0.165967931,-0.0
7.597269169,4.4859862088,0.2195517695,-0.0
8.194933804,4.9852260381,0.2471124807,0.10781106200056456
8.802356721,5.4788477829,0.3267213564,0.0014114380007868021
9.451251565,5.9746272194,0.3915499794,0.07761400000049434
10.14161641,6.4702510785,0.4575574811,0.15138650000039888
10.85637578,6.9220658335,0.6717149633,0.3737605000003441
11.79556432,6.9291173351,1.1716652372,0.6170618750002177
12.3029711,6.9160975308,1.6714956931,0.6870728750004673
13.02993063,6.7190384489,2.1310255814,0.8617517499999394
13.87642328,6.2384435674,2.2689696275,1.0040016880009262
14.59850532,5.7404169634,2.2245905592,1.0827790000007553
15.28399693,5.2405370465,2.2136329742,1.261253375000706
15.94021448,4.7426602303,2.1676038971,1.342544500000713
16.62326656,4.2433972428,2.1404659292,1.422813438000503
17.31119813,3.7434427824,2.1337177778,1.4859083750002355
17.98449412,3.2434450419,2.1352209553,1.6809652500000993
18.63583474,2.7460189837,2.0845522609,1.7374798750006448
19.32376797,2.2490072373,2.0299690768,1.8979298120007115
20.03365323,1.7545018774,1.9560471649,2.031684562000464
20.81916089,1.256638954,1.9098680625,2.265906874999928
21.54855776,0.8378650235,1.6366860807,2.374854624999898
22.27795203,0.6973980857,1.1568225174,2.5381770620003863
22.9658761,0.7086192072,0.6569484468,2.606837938000126
23.61476651,0.8004103463,0.1654462731,2.7325778750002883
24.34903797,1.2817665069,0.0301826541,2.9293285000005653
24.98573042,1.7801841144,-0.0095651579,3.0814968130005127
25.66877141,2.2801244837,-0.0018432977,3.166991812000788
26.34205401,2.7784183052,-0.0431139583,3.3365856880004685
26.96166776,3.2758852725,0.007151501,3.4079511250001815
27.6422674,3.7758378549,0.0140373821,3.533408875000532
28.30579047,4.2754074376,-0.0067046525,3.6082265000004554
28.94735896,4.7738586463,-0.0460288503,3.743739875000074
29.59380427,5.2737636001,-0.0557775525,3.865005311999994
30.2768411,5.7729300784,-0.0846362934,4.070243625000103
30.94036209,6.2723331705,-0.1090606997,4.21300881200068
31.67218662,6.7721369057,-0.1230687779,4.3193589380007325
32.36498318,7.0054208781,0.3191739023,4.446743125000694
33.01631245,7.1127716526,0.8075137545,4.5504876250004145
33.67252026,7.1532377956,1.3058735555,4.683422125000334
34.35068526,7.1572218241,1.8058576828,4.742149500000323
34.98005927,6.9133511628,2.2423517842,4.884929749999856
35.70701073,6.4320123032,2.3776769565,4.940281125000183
36.40468584,5.9320123099,2.3777587799,5.037155375000566
37.09260365,5.4345141262,2.4277143321,5.163540062000038
37.75612552,4.9345142188,2.4280186219,5.250423625000167
38.45379766,4.4402101627,2.5032748514,5.333515375000388
39.11975745,3.9468367179,2.584408346,5.4238167500000145
39.76376198,3.4544935797,2.6715761974,5.575374750000037
40.39069094,2.955777775,2.7073888514,5.6572991880000245
41.08104245,2.4619295331,2.7855803724,5.813217312000916
41.85189453,1.966521472,2.853188456,5.895786500000213
42.64957948,1.5185279445,3.0752285409,6.092113624999911
43.34968865,1.3563005226,3.5481791341,6.164943813000718
44.06199354,1.4448791217,4.0402704181,6.289562250000245
44.68404032,1.5271978818,4.5334474875,6.375099250000176
45.42317698,1.9953497912,4.7090430163,6.475654624999834
46.06961782,2.4952633979,4.6997486185,6.499309499999981
46.77948167,2.9948987949,4.6806575192,6.575225625000485
47.44544078,3.4936180879,4.7164215628,6.596961687999965
48.04797563,3.9915828467,4.6713538475,6.650897688000441
48.65783141,4.491518132,4.6793981299,6.675109625000459
49.29452,4.9885649908,4.6251356187,6.705539375000171
49.86046589,5.4884955212,4.6334701698,6.774375625000175
50.4434875,5.9860409741,4.5839876249,6.734245124999916
51.06797724,6.4860256643,4.5800748757,6.797283061999906
51.69002662,6.9819806165,4.5166029498,6.826736500000834
52.41453011,7.4799168195,4.4712208191,6.803161563000231
