"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.866754583E-1,-4.848408508E1,-3.700824738E0,-9.569381714E0
8.966304583E-1,-4.867002869E1,-3.693820000E0,-9.696777344E0
9.065864583E-1,-4.878561401E1,-3.546796799E0,-9.687866211E0
9.165414583E-1,-4.852087402E1,-3.673855782E0,-9.615280151E0
9.264974583E-1,-4.864926147E1,-3.832440376E0,-9.748870850E0
9.364524583E-1,-4.865664673E1,-3.586391449E0,-9.765213013E0
9.464074583E-1,-4.876977539E1,-3.725230217E0,-9.629043579E0
9.563634583E-1,-4.874604797E1,-3.946091652E0,-9.730010986E0
9.663184583E-1,-4.902481079E1,-3.660545349E0,-9.859481812E0
9.762734583E-1,-4.907093811E1,-3.672924995E0,-9.527008057E0
9.862294583E-1,-4.881410217E1,-3.644769669E0,-9.332138062E0
9.961844583E-1,-4.901947021E1,-3.524507523E0,-9.477371216E0
1.006139458E0,-4.888703918E1,-3.732647896E0,-9.625289917E0
1.016095458E0,-4.892749023E1,-3.790652275E0,-9.455596924E0
1.026050458E0,-4.886308289E1,-3.650986671E0,-9.160552979E0
1.036006458E0,-4.877374268E1,-3.559766769E0,-9.537551880E0
1.045961458E0,-4.887550354E1,-3.804216385E0,-9.533294678E0
1.055916458E0,-4.908036804E1,-3.807506561E0,-9.648361206E0
1.065872458E0,-4.867633057E1,-3.868885040E0,-9.468078613E0
1.075827458E0,-4.892051697E1,-3.690172195E0,-1.003512573E1
1.085782458E0,-4.878645325E1,-3.667656898E0,-9.493011475E0
1.095738458E0,-4.874855042E1,-3.664808273E0,-9.678756714E0
1.105693458E0,-4.889797974E1,-3.808525085E0,-9.733200073E0
1.115648458E0,-4.878370667E1,-3.741905212E0,-9.690277100E0
1.125604458E0,-4.878515625E1,-3.779565811E0,-9.760543823E0
1.135559458E0,-4.866444397E1,-3.675208092E0,-9.596450806E0
1.145515458E0,-4.849313354E1,-3.848697662E0,-9.727630615E0
1.155470458E0,-4.838914490E1,-3.784798622E0,-9.636657715E0
1.165425458E0,-4.865332031E1,-3.843417168E0,-9.600677490E0
1.175381458E0,-4.859584045E1,-3.683338165E0,-9.635559082E0
1.185336458E0,-4.871852112E1,-3.828120232E0,-9.560516357E0
1.195291458E0,-4.880500793E1,-3.684267998E0,-9.753311157E0
1.205247458E0,-4.867887878E1,-3.820001602E0,-9.680496216E0
1.215202458E0,-4.877218628E1,-3.825949669E0,-9.660293579E0
1.225157458E0,-4.855035400E1,-3.728722572E0,-9.369735718E0
1.235113958E0,-4.880867004E1,-3.775978088E0,-9.307846069E0
1.245068958E0,-4.857524109E1,-4.005978584E0,-9.539169312E0
1.255024958E0,-4.879399109E1,-3.822270393E0,-9.558441162E0
1.264979958E0,-4.886111450E1,-3.787079811E0,-9.339355469E0
1.274934958E0,-4.874584961E1,-3.799420357E0,-9.347320557E0
1.284890958E0,-4.859678650E1,-3.642281532E0,-9.341476440E0
