"event","experiment time","system time","system time text"
"START",0.000000000E0,1696242649.961,"2023-10-02 19:30:49.961 UTC+09:00"
"PAUSE",2.676752886E1,1696242676.728,"2023-10-02 19:31:16.728 UTC+09:00"
