"event","experiment time","system time","system time text"
"START",0.000000000E0,1696242111.707,"2023-10-02 19:21:51.707 UTC+09:00"
"PAUSE",3.620143723E1,1696242147.908,"2023-10-02 19:22:27.908 UTC+09:00"
