"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.811223333E-1,2.169716172E-4,1.350552659E-3,-5.855518393E-4,1.487931491E-3
5.910793333E-1,-2.277945168E-3,1.806668006E-4,-9.094784036E-4,2.459436043E-3
6.010353333E-1,2.239575144E-3,-9.261429077E-4,-6.879032589E-4,2.519255526E-3
6.109923333E-1,-2.259207424E-3,1.310462249E-3,9.528144728E-4,2.780141167E-3
6.209483333E-1,9.608208202E-4,2.357883379E-3,-4.983418621E-4,2.594443156E-3
6.309053333E-1,1.056488254E-3,3.628149279E-4,-1.455936115E-3,1.835089119E-3
6.408623333E-1,1.462197397E-4,1.359902439E-3,4.873725120E-4,1.451980310E-3
6.508183333E-1,-6.210454740E-4,-2.179595875E-3,3.729895689E-4,2.296836275E-3
6.607760417E-1,-7.637909148E-4,-6.264919648E-5,8.824523538E-4,1.168770140E-3
6.707320416E-1,-1.149780583E-4,7.133814506E-5,1.263293670E-3,1.270519572E-3
6.806890416E-1,2.092249691E-3,1.610112609E-3,-5.894675851E-4,2.705077341E-3
6.906460417E-1,-1.982616028E-3,-1.090389211E-3,-9.046550840E-4,2.436824935E-3
7.006020417E-1,-2.976339310E-4,-2.437702497E-4,1.729477663E-3,1.771751359E-3
7.105590416E-1,1.855555456E-3,-1.425048802E-3,-2.496147994E-3,3.421199343E-3
7.205150417E-1,-3.210459836E-4,2.711185371E-4,1.262668520E-4,4.387699883E-4
7.304720417E-1,-1.008892898E-3,1.313862391E-3,5.913311616E-4,1.758912108E-3
7.404290417E-1,-2.237142762E-3,1.305073965E-3,-1.326677389E-3,2.909999775E-3
7.503850417E-1,-4.780713934E-4,1.196236815E-3,-1.611880492E-3,2.063417916E-3
7.603420417E-1,1.951756421E-4,1.737124869E-3,-1.520534046E-3,2.316834074E-3
7.702980417E-1,5.586608313E-4,-5.942182615E-4,1.260003075E-3,1.500934714E-3
7.802550417E-1,-2.370916773E-4,1.168457093E-4,-1.071328297E-3,1.103453535E-3
7.902120417E-1,1.153162215E-3,-1.658496563E-3,-1.374809537E-3,2.443459680E-3
8.001680417E-1,4.971070215E-3,2.413476817E-3,8.950028569E-4,5.597985311E-3
8.101250417E-1,-1.401832793E-3,2.397513250E-3,-4.542642273E-4,2.814171450E-3
8.200810417E-1,3.062956966E-3,-1.458477695E-3,-1.748986542E-4,3.396976906E-3
