"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.808792340E-1,-1.130100712E-1,-1.372919679E-1,6.566801574E-3
1.831148290E-1,-1.142318025E-1,-1.371392459E-1,4.123340361E-3
1.853514620E-1,-1.142318025E-1,-1.383609772E-1,1.679879380E-3
1.875846170E-1,-1.178969890E-1,-1.395827085E-1,1.527163084E-3
1.898128270E-1,-1.191187203E-1,-1.395827085E-1,1.527163084E-3
1.920613620E-1,-1.178969890E-1,-1.408044398E-1,-9.162978968E-4
1.942967140E-1,-1.153008118E-1,-1.359175146E-1,-3.207042580E-3
1.965361540E-1,-1.116356254E-1,-1.336267740E-1,-4.428773187E-3
1.987694310E-1,-1.139263660E-1,-1.287398487E-1,-5.650503561E-3
2.010062480E-1,-1.114829108E-1,-1.275181174E-1,-5.650503561E-3
2.032425150E-1,-1.088867337E-1,-1.227839142E-1,-5.650503561E-3
2.054788430E-1,-1.026253626E-1,-1.180497110E-1,-6.719517522E-3
2.077124850E-1,-1.012509167E-1,-1.156062484E-1,-7.941247895E-3
2.099410010E-1,-9.880745411E-2,-1.119410545E-1,-1.160643995E-2
2.121880710E-1,-9.239336848E-2,-1.036943719E-1,-1.267545391E-2
2.144234840E-1,-8.735372871E-2,-9.896016866E-2,-1.511891466E-2
2.166597510E-1,-8.231408894E-2,-9.407325089E-2,-2.000583708E-2
2.188973000E-1,-7.727445662E-2,-8.811730891E-2,-1.985312067E-2
2.211336890E-1,-7.238753140E-2,-8.582656831E-2,-1.985312067E-2
2.233711150E-1,-6.612616032E-2,-8.353582025E-2,-2.214386500E-2
2.256065890E-1,-6.108652428E-2,-8.246681094E-2,-2.458732575E-2
2.278440770E-1,-6.108652428E-2,-7.880161703E-2,-2.580905706E-2
2.300791850E-1,-5.482515693E-2,-7.162395120E-2,-2.443460934E-2
2.323130100E-1,-5.222897977E-2,-6.673702598E-2,-2.565634064E-2
2.345376810E-1,-4.596760869E-2,-6.444628537E-2,-2.687807009E-2
2.367770000E-1,-4.230241850E-2,-6.337726861E-2,-2.809980139E-2
2.390249860E-1,-3.726277873E-2,-5.742133409E-2,-2.672535367E-2
2.412641820E-1,-3.344487399E-2,-5.375614017E-2,-2.672535367E-2
2.435021580E-1,-2.733621933E-2,-5.390885845E-2,-2.779436857E-2
2.457396460E-1,-2.596177347E-2,-4.917465150E-2,-2.657263726E-2
2.479707860E-1,-2.214386500E-2,-4.550946131E-2,-2.901609987E-2
2.502071140E-1,-2.214386500E-2,-4.428773001E-2,-3.023782931E-2
2.524430760E-1,-2.214386500E-2,-4.062253982E-2,-3.145955876E-2
2.546797710E-1,-1.970040426E-2,-4.199698567E-2,-3.390302137E-2
2.569164040E-1,-2.321287990E-2,-3.711006418E-2,-3.634648025E-2
2.591524270E-1,-2.199114859E-2,-3.588833287E-2,-3.512475267E-2
2.613893040E-1,-2.321287990E-2,-3.344487399E-2,-3.512475267E-2
2.636264870E-1,-2.794708498E-2,-2.962696366E-2,-3.390302137E-2
2.658616550E-1,-3.054326214E-2,-3.084869497E-2,-3.512475267E-2
2.680982280E-1,-3.039054573E-2,-2.840523422E-2,-3.268129006E-2
2.703343120E-1,-3.420845419E-2,-2.947424725E-2,-3.023782931E-2
2.725711890E-1,-3.787364438E-2,-2.825251780E-2,-2.901609987E-2
2.748075170E-1,-4.520402849E-2,-2.565634064E-2,-2.550362423E-2
2.770440890E-1,-4.886921868E-2,-2.565634064E-2,-2.306016348E-2
2.792806010E-1,-5.375614017E-2,-2.306016348E-2,-2.183843218E-2
2.815186980E-1,-5.742133409E-2,-1.939497143E-2,-1.695151068E-2
2.837571630E-1,-6.230825558E-2,-1.557706390E-2,-1.572977938E-2
2.859895850E-1,-6.475171447E-2,-1.557706390E-2,-1.206458826E-2
2.882256690E-1,-6.856962293E-2,-1.557706390E-2,-1.099557430E-2
2.904612640E-1,-7.330382615E-2,-9.315694682E-3,-9.773843922E-3
2.926987530E-1,-7.834346592E-2,-9.315694682E-3,-3.665191587E-3
2.949349590E-1,-8.307767659E-2,-4.276056774E-3,-3.665191587E-3
2.971720190E-1,-8.445212245E-2,-7.941247895E-3,-3.665191587E-3
2.994090190E-1,-8.933904022E-2,-6.566801574E-3,-1.221730490E-3
3.016444310E-1,-9.544769675E-2,-4.123340361E-3,-1.374446787E-3
3.038807590E-1,-9.285151958E-2,-2.901609987E-3,-2.596177394E-3
3.061172710E-1,-9.544769675E-2,-2.901609987E-3,-1.527163113E-4
3.083536600E-1,-9.422596544E-2,-2.901609987E-3,-1.374446787E-3
3.105880350E-1,-9.422596544E-2,-2.901609987E-3,-1.527163113E-4
3.128176490E-1,-9.666942805E-2,-1.679879380E-3,-1.527163113E-4
3.150631320E-1,-9.422596544E-2,-5.345070735E-3,-1.527163113E-4
3.173003760E-1,-9.178250283E-2,-6.566801574E-3,1.069014193E-3
3.195379250E-1,-8.933904022E-2,-6.566801574E-3,1.221730490E-3
3.217723610E-1,-8.689557761E-2,-5.497787148E-3,1.221730490E-3
3.240093610E-1,-8.811730891E-2,-6.719517522E-3,1.221730490E-3
3.262449560E-1,-8.552113175E-2,-4.276056774E-3,2.443460980E-3
3.284812840E-1,-8.185594529E-2,-3.054326167E-3,-0.000000000E0
3.307173070E-1,-8.185594529E-2,-1.985311974E-3,-3.665191587E-3
3.329511940E-1,-8.185594529E-2,-7.635815418E-4,-2.443460980E-3
3.351795880E-1,-7.925976813E-2,1.679879380E-3,-3.665191587E-3
3.374270850E-1,-7.559457421E-2,4.581489484E-4,-2.443460980E-3
3.396625580E-1,-7.315111160E-2,-3.359758761E-3,-4.886921961E-3
3.418998020E-1,-7.208210230E-2,-7.024950348E-3,-4.886921961E-3
3.441360080E-1,-7.559457421E-2,3.970623948E-3,-4.734205548E-3
3.463721540E-1,-8.475755155E-2,3.207042441E-2,-5.955935922E-3
3.486054900E-1,-9.666942805E-2,5.543602258E-2,-7.177666761E-3
3.508338840E-1,-1.039998084E-1,5.436700583E-2,-4.886921961E-3
3.530801000E-1,-1.044579595E-1,3.375030309E-2,-3.665191587E-3
3.553072730E-1,-9.880745411E-2,1.053742506E-2,-3.817907767E-3
3.575580670E-1,-9.544769675E-2,-8.857546374E-3,-2.596177394E-3
3.597900610E-1,-9.330966324E-2,-2.229658142E-2,-1.374446787E-3
3.620182710E-1,-9.101892263E-2,-2.840523422E-2,-1.527163113E-4
3.642638160E-1,-8.857546002E-2,-3.329215571E-2,1.069014193E-3
3.664997770E-1,-8.613199741E-2,-3.100141138E-2,1.069014193E-3
3.687399510E-1,-8.368854225E-2,-2.977968007E-2,2.290744567E-3
3.709742040E-1,-7.880161703E-2,-3.237585723E-2,4.886921961E-3
3.732093120E-1,-7.513642311E-2,-3.726277873E-2,2.443460980E-3
3.754461890E-1,-7.040221989E-2,-4.214970022E-2,1.221730490E-3
3.776801980E-1,-6.536258012E-2,-4.230241850E-2,1.221730490E-3
3.799068820E-1,-5.925392732E-2,-3.878994286E-2,2.443460980E-3
3.821551120E-1,-5.421429127E-2,-3.527746722E-2,1.374446787E-3
3.843911360E-1,-5.161811411E-2,-2.794708498E-2,5.039638374E-3
3.866310040E-1,-4.902193695E-2,-2.321287990E-2,6.261368748E-3
3.888653180E-1,-4.291328415E-2,-1.970040426E-2,6.414085161E-3
3.911006690E-1,-3.405573592E-2,-1.252273750E-2,7.788531948E-3
3.933373020E-1,-3.023782931E-2,-6.566801574E-3,9.010262787E-3
3.955742400E-1,-2.886338346E-2,7.635815418E-4,9.010262787E-3
3.978097140E-1,-2.382374369E-2,6.719517522E-3,1.038470957E-2
4.000465310E-1,-1.893682219E-2,9.010262787E-3,1.038470957E-2
4.022825540E-1,-2.138028294E-2,1.023199316E-2,1.038470957E-2
4.045194920E-1,-2.122756653E-2,1.756237634E-2,9.162978269E-3
4.067567360E-1,-1.740965992E-2,2.107485011E-2,6.719517522E-3
4.089922710E-1,-1.359175146E-2,2.580905706E-2,3.207042580E-3
4.112284160E-1,-9.926560335E-3,2.458732575E-2,3.207042580E-3
4.134646220E-1,-1.114829071E-2,2.458732575E-2,1.985311974E-3
4.157014380E-1,-8.704829961E-3,2.336559631E-2,1.985311974E-3
4.179395360E-1,-7.483099122E-3,2.092213556E-2,7.635815418E-4
4.201739110E-1,-3.817907767E-3,2.321287990E-2,7.635815418E-4
4.224107890E-1,-1.374446787E-3,2.321287990E-2,7.635815418E-4
4.246473610E-1,-1.527163113E-4,2.199114859E-2,7.635815418E-4
4.268834450E-1,4.886921961E-3,2.428189293E-2,-3.054326226E-4
4.291197730E-1,6.108652335E-3,2.550362423E-2,-2.748893574E-3
4.313560400E-1,5.039638374E-3,2.916881628E-2,-3.970623948E-3
4.335923680E-1,6.261368748E-3,2.916881628E-2,-5.192354787E-3
4.358289410E-1,8.704829961E-3,3.023782931E-2,-6.414085161E-3
4.380652080E-1,1.007927675E-2,3.268129006E-2,-7.635815535E-3
4.403019020E-1,1.237002108E-2,3.023782931E-2,-6.414085161E-3
4.425371320E-1,8.704829961E-3,3.145955876E-2,-6.414085161E-3
4.447668680E-1,8.704829961E-3,2.901609987E-2,-6.414085161E-3
4.470125950E-1,6.261368748E-3,2.794708498E-2,-7.635815535E-3
4.492471540E-1,7.330383174E-3,2.306016348E-2,-7.635815535E-3
4.514857400E-1,3.665191587E-3,2.061670274E-2,-6.566801574E-3
4.537196880E-1,8.399397135E-3,1.572977938E-2,-3.970623948E-3
4.559566260E-1,9.621127509E-3,1.450804994E-2,-6.414085161E-3
4.581932590E-1,5.955935922E-3,1.328631863E-2,-7.788531948E-3
4.604306250E-1,3.359758761E-3,9.773843922E-3,-5.345070735E-3
4.626660990E-1,1.985311974E-3,3.665191587E-3,-6.566801574E-3
4.649024270E-1,4.428773187E-3,2.443460980E-3,-6.566801574E-3
4.671392430E-1,1.832595794E-3,-4.734205548E-3,-6.566801574E-3
4.693750830E-1,4.581489484E-4,-1.084285788E-2,-5.497787148E-3
4.716116550E-1,1.679879380E-3,-1.328631863E-2,-1.160643995E-2
4.738475560E-1,-1.985311974E-3,-1.313360315E-2,-1.038470957E-2
4.760845560E-1,-1.985311974E-3,-1.557706390E-2,-1.160643995E-2
4.783215550E-1,-3.359758761E-3,-1.924225502E-2,-1.038470957E-2
4.805535500E-1,-3.359758761E-3,-1.924225502E-2,-1.160643995E-2
4.827796850E-1,-7.635815418E-4,-1.802052557E-2,-1.404990070E-2
4.850298680E-1,-1.985311974E-3,-1.557706390E-2,-1.404990070E-2
4.872662570E-1,3.054326167E-3,-1.206458826E-2,-1.404990070E-2
4.895062480E-1,6.108652451E-4,-1.206458826E-2,-1.771509275E-2
4.917390360E-1,6.108652451E-4,-8.399397135E-3,-1.649336144E-2
4.939757910E-1,7.635815418E-4,-4.734205548E-3,-1.893682219E-2
4.962132180E-1,7.635815418E-4,1.527163113E-4,-2.000583708E-2
4.984483250E-1,9.162978968E-4,2.596177394E-3,-1.878410578E-2
5.006847140E-1,9.162978968E-4,7.330383174E-3,-2.000583708E-2
5.029209820E-1,-1.527163084E-3,7.483099122E-3,-1.756237634E-2
5.051577980E-1,-1.374446787E-3,1.588249579E-2,-1.756237634E-2
5.073939430E-1,-2.443460980E-3,1.954768784E-2,-1.756237634E-2
5.096274020E-1,-1.069014193E-3,2.565634064E-2,-1.634064503E-2
5.118518890E-1,-3.512475174E-3,3.176499158E-2,-1.756237634E-2
5.140896820E-1,-8.246680722E-3,3.787364438E-2,-1.756237634E-2
5.163277810E-1,-4.581489135E-3,4.153883830E-2,-1.511891466E-2
5.185793070E-1,-9.315694682E-3,4.520402849E-2,-1.389718428E-2
