"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.623766667E-1,8.842749521E-4,-5.013961345E-5,-1.106215408E-3
7.724186667E-1,-1.859230222E-3,1.472700387E-5,-1.328402897E-3
7.824596667E-1,-4.570758902E-4,1.327399164E-3,1.173370518E-3
7.925016667E-1,-5.219422746E-4,-6.246380508E-6,7.310917135E-4
8.025436667E-1,-1.227413537E-3,-5.671074614E-4,5.241639446E-4
8.125846667E-1,2.654734999E-5,2.123303711E-4,-2.236203291E-4
8.226266667E-1,-7.870483678E-4,9.713312611E-4,3.236592747E-4
8.326686667E-1,6.622073706E-4,-4.421491176E-4,9.223001543E-4
8.427096667E-1,5.554147065E-4,1.573864371E-3,-5.694432184E-5
8.527516667E-1,-1.395690255E-3,2.366924658E-3,-2.175725065E-3
8.627936667E-1,-6.121883634E-4,-2.568712458E-3,-1.075040549E-3
8.728346667E-1,-3.478277940E-4,1.962510869E-4,-4.681721330E-4
8.828766667E-1,7.038544863E-4,1.399467699E-3,-2.183674369E-4
8.929186667E-1,-2.548980527E-3,-3.233542666E-4,1.872844063E-3
9.029596667E-1,1.978393178E-3,-6.027193740E-4,-1.716648694E-4
9.130016667E-1,7.980698720E-4,1.766691916E-3,-2.336425474E-3
9.230436667E-1,2.720339457E-3,1.521947794E-3,-4.740769509E-4
9.330846667E-1,4.226635210E-4,-4.486272112E-3,-1.297417912E-3
9.431266667E-1,-7.967979182E-4,-2.760812640E-5,3.833030351E-4
9.531686667E-1,3.948342055E-4,1.491969451E-3,9.690690786E-5
9.632081667E-1,2.222295385E-3,2.539923415E-3,-5.569239147E-5
9.732501667E-1,1.203888562E-3,-2.446002327E-3,-5.913085770E-4
9.832921667E-1,-1.473653596E-3,-1.656374894E-3,-2.264555078E-4
9.933331667E-1,-1.022011274E-3,-1.141227782E-3,7.855542935E-5
1.003375167E0,-6.009656936E-4,2.689995803E-3,3.626152175E-3
1.013417167E0,2.241952345E-3,4.157191142E-4,1.244389685E-3
1.023458167E0,-7.439840119E-4,2.585919574E-4,1.621492906E-3
1.033500167E0,5.978550762E-4,1.170523465E-3,-2.152579837E-3
1.043542167E0,-6.746032741E-4,2.614489757E-3,1.057594549E-3
1.053583167E0,-2.655569464E-3,-4.567625001E-4,-1.580117852E-3
1.063625167E0,2.248375211E-3,-1.442397945E-3,2.827632707E-4
1.073667167E0,-5.156889092E-4,1.897578128E-3,-9.898623684E-4
1.083708167E0,8.244137280E-4,-1.325379126E-3,2.825914882E-3
1.093750167E0,-6.511490792E-4,-1.346210018E-3,-2.793991473E-3
1.103792167E0,-1.864751568E-3,1.629074104E-3,-2.123407554E-3
1.113834167E0,8.289723191E-4,-7.653497159E-4,-2.247234806E-3
1.123875167E0,-1.695704414E-3,-2.084946260E-3,1.523801358E-3
1.133917167E0,1.968717668E-3,-9.944802150E-4,-7.713737432E-4
1.143959167E0,-5.948413163E-4,1.109978184E-4,2.168223727E-3
1.154000167E0,-9.021346923E-4,-3.854315728E-4,-2.050248440E-3
1.164042167E0,-2.882760018E-4,2.622492611E-4,1.594020985E-3
1.174084167E0,-1.035903115E-4,-7.794918492E-4,-1.906190650E-3
1.184125167E0,-1.171518117E-3,1.099634916E-3,1.358844806E-3
1.194167167E0,1.159774140E-3,-2.465384081E-3,-5.955756642E-4
1.204209167E0,1.041529700E-3,7.413281128E-4,2.246017335E-3
1.214250167E0,-3.973720595E-6,1.322274096E-3,-3.585291561E-4
1.224292167E0,8.365199901E-4,-3.371415660E-4,-2.749823034E-5
1.234334167E0,1.825303654E-3,8.356757462E-4,-2.091843635E-4
1.244375167E0,5.078378599E-4,-1.077272929E-3,6.611368153E-4
1.254417167E0,-1.251131296E-3,-1.101397909E-3,3.362460993E-4
1.264459167E0,-2.459940035E-3,2.464308403E-3,1.330468804E-4
1.274500167E0,-1.264627557E-3,1.640375704E-4,5.048129242E-4
1.284542167E0,7.367380895E-4,2.463292331E-4,-1.070979401E-3
1.294584167E0,2.191951033E-3,1.556111500E-3,-2.007524017E-4
1.304625167E0,-2.722646343E-3,-1.941528171E-5,-3.794503864E-4
1.314667167E0,-2.305319998E-3,-4.400014877E-4,2.334262244E-4
1.324709167E0,-7.969057187E-4,1.567222178E-3,-2.569914795E-5
1.334750167E0,-1.981433015E-4,9.522121400E-4,-1.685363473E-3
1.344792167E0,-1.702030422E-3,1.671265811E-3,-1.607865561E-3
1.354834167E0,-2.586929826E-3,5.528228357E-4,-1.232725102E-3
1.364875167E0,-1.293964917E-3,6.625447422E-4,1.678110100E-3
1.374917167E0,3.435495775E-3,8.177971467E-4,-1.053701853E-3
1.384959167E0,-1.686562086E-3,-8.101928979E-4,-2.374896081E-3
1.395000167E0,1.141711720E-3,-1.187522896E-3,9.468330536E-4
1.405042167E0,-1.434896374E-3,1.129426993E-3,-1.376774977E-3
1.415084167E0,-9.889197536E-4,-1.867124811E-4,-3.222698346E-3
1.425125167E0,1.922714058E-3,1.679098234E-3,1.311333617E-3
1.435167167E0,8.528046310E-4,-2.883579582E-4,-1.866944600E-3
1.445209167E0,2.044569235E-3,1.128709875E-3,-2.847607248E-4
1.455250167E0,-4.406406078E-4,2.667949535E-3,2.542231232E-4
1.465292167E0,4.019837361E-4,-2.082642168E-4,1.959851943E-5
1.475334167E0,-9.348539170E-4,-1.221419312E-3,8.755051531E-4
1.485376167E0,1.251867390E-3,-1.116795465E-4,-2.801521448E-3
1.495417167E0,-1.328258775E-3,1.261452213E-3,-5.916785449E-4
1.505459167E0,-7.431625854E-4,-1.979600638E-4,-2.227658406E-3
1.515501167E0,1.577945426E-3,1.482693478E-4,9.307945147E-4
1.525542167E0,-2.215525601E-4,-9.967107326E-5,-3.317213617E-3
1.535584167E0,-1.603297889E-3,3.771483898E-5,2.742957557E-3
1.545626167E0,1.314993831E-3,9.948546067E-4,-9.433901869E-4
1.555667167E0,-1.306182705E-3,-7.637636736E-4,-1.260610297E-4
1.565709167E0,1.421427005E-3,-4.178192466E-4,-1.601718483E-3
1.575751167E0,9.582778439E-4,2.490479499E-3,2.752439585E-3
1.585792167E0,-1.346834470E-4,-2.467261627E-3,-8.430944290E-4
1.595834167E0,1.412397251E-5,-1.829114743E-3,5.892131012E-4
1.605876167E0,-2.512417035E-3,1.381859183E-3,-3.937596921E-4
1.615917167E0,-9.116381407E-4,1.141554676E-3,1.511968439E-3
1.625959167E0,-1.603527460E-3,-3.636162728E-5,-1.339211944E-3
1.636001167E0,-1.238262514E-3,-2.075722441E-3,-2.645377535E-4
1.646042167E0,-8.933830541E-4,-2.359615639E-3,4.518777132E-5
1.656084167E0,-1.515124459E-3,2.631498501E-3,1.476255711E-3
1.666126167E0,-1.848286018E-3,2.479698509E-3,-1.740310225E-3
1.676167167E0,5.216826685E-5,2.442905679E-3,9.365612641E-4
1.686209167E0,6.886639167E-4,-9.854882956E-5,-1.610219479E-3
1.696251167E0,-1.668646466E-3,1.352959312E-3,1.477103215E-3
1.706292167E0,2.579095541E-3,-1.411401667E-3,5.303495564E-4
1.716334167E0,-4.207792226E-4,1.555948518E-3,-2.033212222E-4
1.726376167E0,4.287716001E-5,1.981521025E-3,-1.207632013E-4
1.736417167E0,1.233752933E-3,-9.298557416E-4,4.154278431E-4
1.746459167E0,1.272102469E-3,1.740250736E-4,-5.408748984E-5
1.756501167E0,-8.152895607E-4,7.279971614E-4,-4.089940339E-4
1.766542167E0,1.783955609E-3,3.076905385E-3,-1.625792240E-3
1.776584167E0,1.607461367E-3,-5.787666887E-4,6.779185496E-4
1.786626167E0,2.093019430E-4,-3.185468726E-3,-1.594556845E-3
1.796667167E0,-1.968921628E-3,-2.278257161E-3,2.470804378E-3
