"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.147492500E-1,-3.541691589E1,9.043955803E0,-1.658432007E0
9.247062500E-1,-3.546487427E1,9.082858086E0,-1.309783936E0
9.346622500E-1,-3.530508423E1,9.092183113E0,-1.373931885E0
9.446192500E-1,-3.552638245E1,8.991080284E0,-1.572677612E0
9.545762500E-1,-3.576126099E1,8.970351219E0,-1.280380249E0
9.645332500E-1,-3.584286499E1,9.031748772E0,-1.500610352E0
9.744892500E-1,-3.530569458E1,8.972460747E0,-1.517211914E0
9.844462500E-1,-3.532630920E1,8.928799629E0,-1.800628662E0
9.944032083E-1,-3.558651733E1,8.930869102E0,-1.519744873E0
1.004359208E0,-3.548767090E1,8.865864754E0,-1.421035767E0
1.014316208E0,-3.522480774E1,8.793406487E0,-1.333663940E0
1.024273208E0,-3.535385132E1,8.782597542E0,-1.335586548E0
1.034229208E0,-3.534722900E1,8.793471336E0,-1.827789307E0
1.044186208E0,-3.549151611E1,8.845305443E0,-1.224578857E0
1.054143208E0,-3.540649414E1,8.867711067E0,-1.362243652E0
1.064099208E0,-3.544535828E1,8.997132301E0,-1.233184814E0
1.074056208E0,-3.539379883E1,8.899384499E0,-1.183288574E0
1.084013208E0,-3.553511047E1,8.997021675E0,-1.284332275E0
1.093969208E0,-3.528347778E1,8.942982674E0,-1.419876099E0
1.103926208E0,-3.516072083E1,8.990490913E0,-1.342086792E0
1.113883208E0,-3.547271729E1,9.064976692E0,-1.318786621E0
1.123840208E0,-3.540203857E1,9.091700554E0,-1.221649170E0
1.133796208E0,-3.552520752E1,8.947224617E0,-1.267242432E0
1.143753208E0,-3.558367920E1,9.084635735E0,-9.757690430E-1
1.153710208E0,-3.539508057E1,9.216237068E0,-1.308776855E0
1.163666208E0,-3.565420532E1,9.150021553E0,-1.266021729E0
1.173623208E0,-3.554211426E1,9.310046196E0,-1.336013794E0
1.183580208E0,-3.553688049E1,9.281329155E0,-1.496658325E0
1.193536208E0,-3.550073242E1,9.194483757E0,-1.102111816E0
1.203493208E0,-3.543417358E1,9.193192482E0,-1.229492188E0
1.213450208E0,-3.538452148E1,9.027470589E0,-1.334564209E0
1.223406208E0,-3.562736511E1,9.091395378E0,-1.199890137E0
1.233363208E0,-3.555474854E1,9.095179558E0,-1.445571899E0
1.243320208E0,-3.567677307E1,9.190865517E0,-1.171707153E0
1.253277208E0,-3.566773987E1,9.149622917E0,-1.242446899E0
1.263233208E0,-3.566773987E1,9.149622917E0,-1.242446899E0
1.273190208E0,-3.543928528E1,9.196024895E0,-1.206634521E0
1.283147208E0,-3.546577454E1,9.090279579E0,-1.478393555E0
1.293103208E0,-3.531581116E1,9.033526421E0,-1.145370483E0
1.303060208E0,-3.531628418E1,9.232516289E0,-1.212265015E0
1.313017208E0,-3.542988586E1,9.082730293E0,-1.213867188E0
1.322973208E0,-3.550849915E1,9.157282829E0,-9.755554199E-1
1.332930208E0,-3.566180420E1,9.066229820E0,-9.131927490E-1
1.342887208E0,-3.555004883E1,8.994217873E0,-1.080688477E0
1.352843208E0,-3.568659973E1,9.061333656E0,-1.329788208E0
1.362800208E0,-3.552902222E1,9.099680901E0,-1.488784790E0
1.372757208E0,-3.570550537E1,9.289998055E0,-1.387634277E0
1.382713208E0,-3.544909668E1,9.076100349E0,-1.245056152E0
1.392670208E0,-3.532377625E1,9.149544716E0,-1.282699585E0
1.402627208E0,-3.560513306E1,8.835337639E0,-1.123245239E0
1.412583208E0,-3.541302490E1,8.998965263E0,-1.172393799E0
1.422540208E0,-3.542654419E1,9.336184502E0,-8.693695068E-1
1.432497208E0,-3.559091187E1,9.064740181E0,-8.966979980E-1
1.442454208E0,-3.553051758E1,8.989655495E0,-1.005340576E0
1.452410208E0,-3.550268555E1,9.109068871E0,-9.677124023E-1
1.462367208E0,-3.554281616E1,8.928130150E0,-5.849609375E-1
1.472324208E0,-3.572988892E1,9.096373558E0,-5.424041748E-1
1.482280208E0,-3.554699707E1,9.141058922E0,-1.103424072E0
