"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.749222500E-1,-1.721420288E-2,9.250762939E-2,9.802515564E0
8.848792500E-1,-1.871109009E-2,9.460327148E-2,9.775721283E0
8.948362500E-1,-2.799179077E-2,1.055305481E-1,9.717791748E0
9.047922500E-1,-2.469863892E-2,9.624984741E-2,9.738897858E0
9.147492500E-1,-2.589614868E-2,9.849517822E-2,9.776619415E0
9.247062500E-1,-3.128494263E-2,8.951385498E-2,9.739197235E0
9.346622500E-1,-2.829116821E-2,1.005908203E-1,9.739346924E0
9.446192500E-1,-2.589614868E-2,9.205856323E-2,9.774074707E0
9.545762500E-1,-2.544708252E-2,8.831634521E-2,9.761351166E0
9.645332500E-1,-2.589614868E-2,8.906478882E-2,9.759405212E0
9.744892500E-1,-1.916015625E-2,9.789642334E-2,9.774374084E0
9.844462500E-1,-1.392105103E-2,1.001417542E-1,9.761949921E0
9.944032083E-1,-7.484436035E-4,9.924362183E-2,9.704768829E0
1.004359208E0,-1.107696533E-2,9.624984741E-2,9.802066498E0
1.014316208E0,-3.173400879E-2,8.562194824E-2,9.802964630E0
1.024273208E0,-3.353027344E-2,8.921447754E-2,9.709409180E0
1.034229208E0,-3.787124634E-2,8.637039185E-2,9.733808441E0
1.044186208E0,-3.278182983E-2,8.367599487E-2,9.809401245E0
1.054143208E0,-2.664459229E-2,9.445358276E-2,9.732012177E0
1.064099208E0,-3.203338623E-2,9.669891357E-2,9.738897858E0
1.074056208E0,-2.185455322E-2,1.001417542E-1,9.793833618E0
1.084013208E0,-2.589614868E-2,1.032852173E-1,9.761650543E0
1.093969208E0,-2.065704346E-2,1.052311707E-1,9.701176300E0
1.103926208E0,-9.280700684E-3,9.864486694E-2,9.787097626E0
1.113883208E0,-1.631607056E-2,9.116043091E-2,9.787247314E0
1.123840208E0,-1.541793823E-2,8.187973022E-2,9.722432098E0
1.133796208E0,-1.871109009E-2,7.529342651E-2,9.735754395E0
1.143753208E0,-1.721420288E-2,8.801696777E-2,9.793983307E0
1.153710208E0,-2.245330811E-2,9.011260986E-2,9.739197235E0
1.163666208E0,-2.365081787E-2,9.041198730E-2,9.733209686E0
1.173623208E0,-1.422042847E-2,9.565109253E-2,9.778116302E0
1.183580208E0,-1.960922241E-2,9.969268799E-2,9.777966614E0
1.193536208E0,-2.559677124E-2,9.624984741E-2,9.735754395E0
1.203493208E0,-2.739303589E-2,9.789642334E-2,9.773026886E0
1.213450208E0,-3.742218018E-2,9.460327148E-2,9.776469727E0
1.223406208E0,-3.861968994E-2,8.442443848E-2,9.721084900E0
1.233363208E0,-3.577560425E-2,9.669891357E-2,9.745184784E0
1.243320208E0,-2.664459229E-2,9.145980835E-2,9.790690155E0
1.253277208E0,-1.616638184E-2,9.056167603E-2,9.758956146E0
1.263233208E0,-1.302291870E-2,1.020877075E-1,9.735005951E0
1.273190208E0,-8.232879639E-3,9.175918579E-2,9.774972839E0
1.283147208E0,-1.377136230E-2,8.861572266E-2,9.775122528E0
1.293103208E0,-1.362167358E-2,8.936416626E-2,9.736353149E0
1.303060208E0,-1.062789917E-2,8.861572266E-2,9.757608948E0
1.313017208E0,-1.945953369E-2,8.622070312E-2,9.777966614E0
1.322973208E0,-1.736389160E-2,9.056167603E-2,9.747280426E0
1.332930208E0,-3.457809448E-2,9.265731812E-2,9.752669220E0
1.342887208E0,-2.439926147E-2,8.966354370E-2,9.770781555E0
1.352843208E0,-3.367996216E-2,9.400451660E-2,9.750573578E0
1.362800208E0,-3.622467041E-2,1.004411316E-1,9.749376068E0
1.372757208E0,-3.263214111E-2,9.864486694E-2,9.765542450E0
1.382713208E0,-3.053649902E-2,9.325607300E-2,9.764644318E0
1.392670208E0,-1.960922241E-2,9.355545044E-2,9.749525757E0
1.402627208E0,-1.706451416E-2,8.951385498E-2,9.758357391E0
1.412583208E0,-1.856140137E-2,9.250762939E-2,9.765542450E0
1.422540208E0,-2.320175171E-2,9.355545044E-2,9.761051788E0
1.432497208E0,-2.559677124E-2,9.220825195E-2,9.753866730E0
1.442454208E0,-8.981323242E-3,9.205856323E-2,9.767189026E0
1.452410208E0,-1.661544800E-2,8.487350464E-2,9.755662994E0
1.462367208E0,-2.395019531E-2,9.220825195E-2,9.759255524E0
1.472324208E0,-1.571731567E-2,9.864486694E-2,9.763297119E0
1.482280208E0,-2.140548706E-2,9.490264893E-2,9.756710815E0
1.492237208E0,-2.350112915E-2,9.624984741E-2,9.752968597E0
1.502194208E0,-2.993774414E-2,9.116043091E-2,9.767638092E0
1.512150208E0,-3.562591553E-2,9.280700684E-2,9.765991516E0
1.522107208E0,-3.248245239E-2,8.637039185E-2,9.747430115E0
1.532064208E0,-2.095642090E-2,9.624984741E-2,9.756411438E0
1.542020208E0,-2.814147949E-2,9.774673462E-2,9.763147430E0
1.551977208E0,-2.604583740E-2,9.325607300E-2,9.759704590E0
1.561934208E0,-2.260299683E-2,9.131011963E-2,9.757758636E0
1.571890208E0,-2.245330811E-2,9.056167603E-2,9.755064240E0
1.581847208E0,-1.137634277E-2,8.666976929E-2,9.774224396E0
1.591804208E0,-9.729766846E-3,9.849517822E-2,9.766739960E0
1.601760208E0,-2.155517578E-2,9.190887451E-2,9.758656769E0
1.611717208E0,-2.439926147E-2,8.981323242E-2,9.757010193E0
1.621674208E0,-2.724334717E-2,8.936416626E-2,9.756561127E0
1.631631208E0,-2.380050659E-2,9.654922485E-2,9.756710815E0
1.641587208E0,-3.577560425E-2,9.624984741E-2,9.755363617E0
1.651544208E0,-2.754272461E-2,9.520202637E-2,9.752070465E0
1.661501208E0,-2.709365845E-2,9.385482788E-2,9.760303345E0
1.671457208E0,-2.365081787E-2,9.340576172E-2,9.748328247E0
1.681414208E0,-2.634521484E-2,9.220825195E-2,9.756710815E0
1.691371208E0,-2.050735474E-2,9.190887451E-2,9.760453033E0
1.701327208E0,-2.365081787E-2,8.637039185E-2,9.760003967E0
1.711284208E0,-2.215393066E-2,8.487350464E-2,9.755064240E0
1.721241208E0,-1.466949463E-2,8.367599487E-2,9.762997742E0
1.731197208E0,-1.676513672E-2,8.801696777E-2,9.756261749E0
1.741154208E0,-1.317260742E-2,9.370513916E-2,9.760453033E0
1.751111208E0,-2.200424194E-2,9.714797974E-2,9.761051788E0
1.761067208E0,-1.886077881E-2,9.131011963E-2,9.767638092E0
1.771024208E0,-2.634521484E-2,9.864486694E-2,9.758058014E0
1.780981208E0,-3.053649902E-2,1.004411316E-1,9.757309570E0
1.790937208E0,-3.263214111E-2,9.669891357E-2,9.758956146E0
1.800894208E0,-2.589614868E-2,9.595046997E-2,9.765243073E0
1.810851208E0,-3.203338623E-2,9.939331055E-2,9.759105835E0
1.820808208E0,-2.559677124E-2,9.669891357E-2,9.759255524E0
1.830764208E0,-2.424957275E-2,9.355545044E-2,9.761650543E0
1.840721208E0,-2.424957275E-2,8.876541138E-2,9.762249298E0
1.850678208E0,-2.350112915E-2,9.145980835E-2,9.762848053E0
1.860634208E0,-9.580078125E-3,9.145980835E-2,9.762398987E0
1.870591208E0,-9.729766846E-3,9.325607300E-2,9.758806458E0
1.880548208E0,-2.395019531E-2,9.669891357E-2,9.752818909E0
1.890504208E0,-2.514770508E-2,9.041198730E-2,9.762548676E0
1.900461208E0,-1.766326904E-2,8.861572266E-2,9.761500854E0
1.910418208E0,-2.649490356E-2,9.295669556E-2,9.757159882E0
1.920374208E0,-1.975891113E-2,1.001417542E-1,9.760453033E0
1.930331208E0,-2.649490356E-2,1.031355286E-1,9.755363617E0
1.940288208E0,-3.113525391E-2,9.460327148E-2,9.752369843E0
