"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.560114583E-1,-1.631607056E-2,9.011260986E-2,9.751471710E0
7.659674583E-1,-1.242416382E-2,9.849517822E-2,9.751471710E0
7.759224583E-1,-1.437011719E-2,9.310638428E-2,9.754764862E0
7.858774583E-1,-1.152603149E-2,1.043330383E-1,9.765841827E0
7.958334583E-1,-7.185058594E-3,1.104702759E-1,9.758806458E0
8.057884583E-1,-1.122665405E-2,1.035845947E-1,9.752519531E0
8.157444583E-1,-2.095642090E-2,9.624984741E-2,9.751322021E0
8.256994583E-1,-8.981323242E-4,9.370513916E-2,9.754166107E0
8.356544583E-1,-1.556762695E-2,8.921447754E-2,9.751471710E0
8.456104583E-1,-4.041595459E-2,8.906478882E-2,9.749376068E0
8.555654583E-1,-2.110610962E-2,9.804611206E-2,9.754764862E0
8.655204583E-1,-1.137634277E-2,1.100212097E-1,9.765841827E0
8.754764583E-1,-6.436614990E-3,1.161584473E-1,9.743538208E0
8.854314583E-1,-1.646575928E-3,1.077758789E-1,9.761500854E0
8.953864583E-1,-1.212478638E-2,1.076261902E-1,9.763746185E0
9.053424583E-1,-1.287322998E-2,1.053808594E-1,9.746531982E0
9.152974583E-1,-6.286926270E-3,9.565109253E-2,9.750872955E0
9.252534583E-1,-1.287322998E-2,9.699829102E-2,9.762698364E0
9.352084583E-1,-1.616638184E-2,9.550140381E-2,9.760453033E0
9.451634583E-1,-1.960922241E-2,8.666976929E-2,9.757459259E0
9.551194583E-1,-2.035766602E-2,9.580078125E-2,9.756561127E0
9.650744583E-1,-1.586700439E-2,9.056167603E-2,9.760752411E0
9.750294583E-1,-2.005828857E-2,1.070274353E-1,9.761051788E0
9.849854583E-1,-2.200424194E-2,1.070274353E-1,9.761650543E0
9.949404583E-1,-2.335144043E-2,1.107696533E-1,9.759405212E0
1.004895458E0,-2.874023438E-2,1.047821045E-1,9.745035095E0
1.014851458E0,-1.856140137E-2,1.020877075E-1,9.766590271E0
1.024806458E0,-7.634124756E-3,9.939331055E-2,9.766889648E0
1.034762458E0,-1.332229614E-2,9.430389404E-2,9.746232605E0
1.044717458E0,-1.871109009E-2,9.011260986E-2,9.768386536E0
1.054672458E0,-2.395019531E-3,1.242416382E-1,9.779912567E0
1.064628458E0,-1.691482544E-2,8.906478882E-2,9.757908325E0
1.074583458E0,-2.350112915E-2,8.158035278E-2,9.740544434E0
1.084538458E0,-1.811233521E-2,1.050814819E-1,9.755363617E0
1.094494458E0,-2.454895020E-2,9.415420532E-2,9.745035095E0
1.104449458E0,-2.005828857E-2,9.774673462E-2,9.750723267E0
1.114404458E0,-1.392105103E-2,1.052311707E-1,9.762698364E0
1.124360458E0,-9.280700684E-3,1.139131165E-1,9.760303345E0
1.134315458E0,-1.362167358E-2,1.125659180E-1,9.747879181E0
1.144271458E0,-2.829116821E-2,1.034349060E-1,9.751771088E0
1.154226458E0,-1.856140137E-2,1.008901978E-1,9.756411438E0
1.164181458E0,-2.739303589E-2,9.639953613E-2,9.765093384E0
1.174137458E0,-2.290237427E-2,9.235794067E-2,9.765692139E0
1.184092458E0,-2.529739380E-2,8.921447754E-2,9.761650543E0
1.194047458E0,-1.092727661E-2,1.011895752E-1,9.756710815E0
1.204003458E0,-1.092727661E-2,1.056802368E-1,9.760153656E0
1.213958458E0,-1.811233521E-2,1.070274353E-1,9.756261749E0
1.223913458E0,-1.901046753E-2,9.654922485E-2,9.750872955E0
1.233869958E0,-1.586700439E-2,1.062789917E-1,9.755962372E0
1.243824958E0,-1.646575928E-2,1.008901978E-1,9.756112061E0
1.253780958E0,-1.556762695E-2,1.010398865E-1,9.763895874E0
1.263735958E0,-1.706451416E-2,9.894424438E-2,9.748028870E0
1.273690958E0,-1.826202393E-2,9.984237671E-2,9.765243073E0
1.283646958E0,-1.392105103E-2,1.019380188E-1,9.753417664E0
1.293601958E0,-1.945953369E-2,9.580078125E-2,9.751471710E0
1.303556958E0,-2.170486450E-2,9.954299927E-2,9.762099609E0
1.313512958E0,-2.035766602E-2,1.025367737E-1,9.759554901E0
1.323467958E0,-2.035766602E-2,1.026864624E-1,9.760003967E0
1.333422958E0,-1.571731567E-2,9.565109253E-2,9.759854279E0
1.343378958E0,-1.422042847E-2,9.145980835E-2,9.756710815E0
1.353333958E0,-2.020797729E-2,9.804611206E-2,9.752070465E0
1.363289958E0,-2.080673218E-2,9.714797974E-2,9.746831360E0
1.373244958E0,-1.122665405E-2,9.595046997E-2,9.759854279E0
1.383199958E0,-1.407073975E-2,9.684860229E-2,9.749974823E0
1.393155958E0,-1.317260742E-2,1.101708984E-1,9.755962372E0
1.403110958E0,-1.511856079E-2,1.014889526E-1,9.754315796E0
1.413065958E0,-1.526824951E-2,1.011895752E-1,9.766440582E0
1.423021958E0,-2.439926147E-2,9.879455566E-2,9.768685913E0
1.432976958E0,-2.469863892E-2,1.013392639E-1,9.761500854E0
1.442931958E0,-2.469863892E-2,9.325607300E-2,9.759105835E0
1.452887958E0,-2.140548706E-2,9.834548950E-2,9.763297119E0
1.462842958E0,-1.930984497E-2,1.011895752E-1,9.758357391E0
1.472797958E0,-9.280700684E-3,9.430389404E-2,9.754764862E0
1.482753958E0,-1.077758789E-2,9.969268799E-2,9.751771088E0
1.492708958E0,-1.556762695E-2,1.025367737E-1,9.747130737E0
1.502664958E0,-1.960922241E-2,1.038839722E-1,9.757010193E0
1.512619958E0,-1.077758789E-2,9.565109253E-2,9.758656769E0
1.522574958E0,-7.484436035E-3,9.699829102E-2,9.760602722E0
1.532530958E0,-1.796264648E-2,9.355545044E-2,9.759255524E0
1.542485958E0,-1.616638184E-2,9.205856323E-2,9.757758636E0
1.552440958E0,-2.110610962E-2,9.445358276E-2,9.755812683E0
1.562396958E0,-1.511856079E-2,9.759704590E-2,9.754315796E0
1.572351958E0,-1.062789917E-2,9.445358276E-2,9.766590271E0
1.582306958E0,-1.362167358E-2,9.894424438E-2,9.757010193E0
1.592262958E0,-2.065704346E-2,9.505233765E-2,9.753866730E0
1.602217958E0,-2.020797729E-2,9.490264893E-2,9.751920776E0
1.612173958E0,-1.182540894E-2,9.550140381E-2,9.762997742E0
1.622128958E0,-1.407073975E-2,1.007405090E-1,9.759105835E0
1.632083958E0,-1.781295776E-2,9.999206543E-2,9.753118286E0
1.642039958E0,-1.826202393E-2,9.265731812E-2,9.752968597E0
1.651994958E0,-1.122665405E-2,1.008901978E-1,9.761351166E0
1.661949958E0,-1.137634277E-2,9.729766846E-2,9.748477936E0
1.671905958E0,-1.377136230E-2,9.759704590E-2,9.756710815E0
1.681860958E0,-1.691482544E-2,9.984237671E-2,9.763895874E0
1.691815958E0,-8.232879639E-3,1.049317932E-1,9.760153656E0
1.701771958E0,-1.302291870E-2,1.014889526E-1,9.757309570E0
1.711726958E0,-2.005828857E-2,1.005908203E-1,9.762848053E0
1.721682958E0,-8.532257080E-3,9.939331055E-2,9.754615173E0
1.731637958E0,-1.017883301E-2,9.954299927E-2,9.764794006E0
1.741592958E0,-1.511856079E-2,1.035845947E-1,9.758058014E0
1.751548958E0,-2.005828857E-2,9.355545044E-2,9.749226379E0
1.761503958E0,-1.930984497E-2,9.999206543E-2,9.761351166E0
1.771458958E0,-1.451980591E-2,1.017883301E-1,9.766141205E0
1.781414958E0,-2.275268555E-2,1.022373962E-1,9.752669220E0
1.791369958E0,-1.242416382E-2,1.104702759E-1,9.751621399E0
1.801324958E0,-1.122665405E-2,1.025367737E-1,9.766889648E0
1.811280958E0,-1.841171265E-2,1.010398865E-1,9.749525757E0
1.821235958E0,-1.451980591E-2,9.445358276E-2,9.754166107E0
1.831191958E0,-2.170486450E-2,8.547225952E-2,9.764644318E0
1.841146958E0,-2.110610962E-2,9.265731812E-2,9.758357391E0
1.851101958E0,-9.729766846E-3,1.001417542E-1,9.762997742E0
1.861057958E0,-1.332229614E-2,9.894424438E-2,9.759105835E0
1.871012958E0,-1.272354126E-2,9.520202637E-2,9.758207703E0
1.880967958E0,-1.481918335E-2,1.037342834E-1,9.762698364E0
1.890923958E0,-9.430389404E-3,1.040336609E-1,9.763297119E0
1.900878958E0,-9.729766846E-3,1.031355286E-1,9.753567352E0
1.910833958E0,-1.466949463E-2,1.032852173E-1,9.758656769E0
1.920789958E0,-1.796264648E-2,1.041833496E-1,9.758058014E0
1.930744958E0,-1.990859985E-2,1.022373962E-1,9.758357391E0
1.940700958E0,-2.095642090E-2,1.128652954E-1,9.747729492E0
1.950655958E0,-2.170486450E-2,1.058299255E-1,9.757010193E0
1.960610958E0,-1.092727661E-2,9.490264893E-2,9.757309570E0
1.970566958E0,-1.661544800E-2,9.894424438E-2,9.762099609E0
1.980521958E0,-1.422042847E-2,8.801696777E-2,9.761650543E0
1.990476958E0,-1.511856079E-2,8.756790161E-2,9.764045563E0
2.000432958E0,-7.334747314E-3,1.005908203E-1,9.767638092E0
2.010387958E0,-1.646575928E-2,1.025367737E-1,9.748927002E0
2.020342958E0,-1.526824951E-2,1.032852173E-1,9.747729492E0
2.030298958E0,-9.580078125E-3,1.001417542E-1,9.769284668E0
2.040253958E0,-1.646575928E-2,1.026864624E-1,9.760752411E0
2.050209958E0,-2.065704346E-2,9.864486694E-2,9.752070465E0
2.060164958E0,-2.469863892E-2,9.684860229E-2,9.759405212E0
2.070119958E0,-1.676513672E-2,9.610015869E-2,9.756112061E0
2.080075958E0,-1.646575928E-2,9.669891357E-2,9.750723267E0
2.090030958E0,-1.631607056E-2,1.026864624E-1,9.754764862E0
2.099985958E0,-1.287322998E-2,9.999206543E-2,9.756860504E0
2.109941958E0,-1.571731567E-2,1.020877075E-1,9.751621399E0
2.119896958E0,-2.574645996E-2,1.029858398E-1,9.763446808E0
2.129851958E0,-1.601669312E-2,9.729766846E-2,9.756561127E0
2.139807958E0,-8.382568359E-3,9.804611206E-2,9.762249298E0
2.149762958E0,-9.729766846E-3,1.007405090E-1,9.762099609E0
2.159718958E0,-1.856140137E-2,9.789642334E-2,9.752369843E0
2.169673958E0,-1.646575928E-2,9.639953613E-2,9.761949921E0
2.179628958E0,-1.137634277E-2,1.031355286E-1,9.753267975E0
2.189584958E0,-6.137237549E-3,1.085243225E-1,9.752369843E0
