"event","experiment time","system time","system time text"
"START",0.000000000E0,1697027815.056,"2023-10-11 21:36:55.056 UTC+09:00"
"PAUSE",2.035437554E1,1697027835.411,"2023-10-11 21:37:15.411 UTC+09:00"
