"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.440578854E0,-3.764004260E-2,1.304894313E-2,-2.789402008E-2
1.458471432E0,-3.116244078E-2,1.220444962E-2,-2.853965759E-2
1.476363033E0,-3.538355231E-2,4.896286875E-3,-1.370429993E-2
1.494255367E0,-3.638556600E-2,1.407992467E-2,-9.494781494E-3
1.512147946E0,-3.461001813E-2,5.840927362E-3,-8.172035217E-3
1.530039608E0,-3.103592992E-2,6.099723279E-3,-1.097011566E-2
1.547931942E0,-2.995546162E-2,1.404911280E-3,-3.535556793E-2
1.565814083E0,-1.895210147E-2,2.366613597E-3,-5.344581604E-2
1.583716061E0,-1.214806736E-2,1.962468028E-3,-6.540012360E-2
1.601600155E0,-1.077038050E-2,-2.269309014E-3,-9.231090546E-2
1.619496029E0,-7.144182920E-3,-5.850497633E-3,-9.869003296E-2
1.637392819E0,-3.845691681E-3,-4.428334534E-3,-1.084394455E-1
1.655287594E0,-1.520620286E-2,-4.203751683E-3,-1.003246307E-1
1.673176998E0,-1.222442091E-2,-8.455570787E-3,-9.467315674E-2
1.691066219E0,-1.845940948E-2,1.244910061E-3,-7.598209381E-2
1.708961483E0,-1.729558408E-2,-7.078535855E-4,-6.223106384E-2
1.726853512E0,-2.336646616E-2,-4.018243402E-3,-4.299831390E-2
1.744745663E0,-2.298685908E-2,1.351721585E-3,-2.577304840E-2
1.762637814E0,-2.196988463E-2,7.155131549E-3,-1.155376434E-2
1.780532345E0,-2.994785458E-2,4.573833197E-3,-7.724761963E-3
1.798422115E0,-2.971073985E-2,9.408701211E-3,-1.099109650E-2
1.816314449E0,-2.811031044E-2,3.184236586E-3,-1.732349396E-2
1.834206600E0,-3.143458068E-2,9.240135550E-3,-2.612781525E-2
1.852102108E0,-3.016929328E-2,3.536932170E-3,-4.771137238E-2
1.869990963E0,-3.048869967E-2,-8.604303002E-5,-6.087779999E-2
1.887885983E0,-2.329316735E-2,4.315458238E-3,-8.138847351E-2
1.905775082E0,-2.019663155E-2,3.054425120E-3,-9.272575378E-2
1.923667477E0,-1.494117081E-2,-1.754011959E-3,-1.049289703E-1
1.941559506E0,-2.275750041E-2,-1.002497971E-3,-1.081047058E-1
1.959451717E0,-1.640604436E-2,-3.086451441E-3,-9.606266022E-2
1.977332760E0,-1.577413082E-2,6.122682244E-3,-8.153533936E-2
1.995238888E0,-3.230275959E-2,6.133105606E-3,-7.884025574E-2
2.013128292E0,-2.311176062E-2,7.679730654E-3,-4.493522644E-2
2.031020260E0,-2.710398287E-2,8.051231503E-3,-2.976894379E-2
2.048912838E0,-2.942480147E-2,4.654143006E-3,-2.355003357E-2
2.066804684E0,-2.488330007E-2,6.932973862E-3,-1.118755341E-2
2.084697018E0,-2.201205492E-2,1.245062798E-2,-7.202148438E-3
2.102589108E0,-2.732813358E-2,1.111298800E-2,-9.802818298E-3
2.120481197E0,-1.920853555E-2,1.815665513E-3,-2.807807922E-2
2.138370296E0,-2.284598351E-2,-7.760152221E-4,-4.120445251E-2
