time,x,y,z,norm
6.910909167E-1,-4.060755140E-2,3.070069615E-2,-4.956333876E-2,7.104949348E-2
7.010449166E-1,-3.937023489E-2,2.272794452E-2,-3.861968994E-2,5.964943678E-2
7.109989166E-1,-4.666587895E-2,2.543502264E-2,-5.611338973E-2,7.728749667E-2
7.209529167E-1,-3.585452339E-2,2.407274930E-2,-5.009251177E-2,6.613852011E-2
7.309069167E-1,-2.768494899E-2,2.164918805E-2,-2.430512130E-2,4.273034829E-2
7.408609167E-1,-3.639841494E-2,1.431972150E-2,-4.658593655E-2,6.082884610E-2
7.508149167E-1,-4.868764512E-2,8.419807814E-4,-9.446703136E-2,1.062789524E-1
7.607689167E-1,-5.108136730E-2,-1.406623008E-1,-6.018071294E-2,1.612975733E-1
7.707229166E-1,-2.864397459E-2,-2.923348356E-1,-6.538707376E-2,3.009245799E-1
7.806769166E-1,1.244514801E-1,-4.898306108E-1,9.349697828E-3,5.054795891E-1
7.906309167E-1,7.940491813E-1,-6.283178204E-1,-3.403605759E-2,1.013141569E0
8.005849167E-1,1.933994790E0,-9.016016234E-1,-1.046622366E-1,2.136393110E0
8.105389167E-1,3.293657932E0,-1.215247733E0,3.233159423E-2,3.510848182E0
8.204929167E-1,5.335415883E0,-1.460641779E0,-1.149270236E-2,5.531751001E0
8.304469167E-1,7.870909508E0,-1.383755132E0,3.212050974E-2,7.991684833E0
8.404009166E-1,1.053081551E1,-9.612060933E-1,1.403799534E-2,1.057460115E1
8.503549166E-1,1.300958471E1,-4.647486138E-1,2.829643071E-2,1.301791405E1
8.603089167E-1,1.526198480E1,6.358950079E-1,-5.558246255E-2,1.527532756E1
8.702629167E-1,1.811119968E1,1.539412983E0,-1.308928460E-1,1.817697662E1
8.802169167E-1,2.191217169E1,2.019586479E0,3.244894785E-1,2.200743717E1
8.901709167E-1,2.555417544E1,1.963611960E0,-3.251180542E-1,2.563156952E1
9.001249167E-1,2.706979479E1,9.929842485E-1,2.706664431E-1,2.708935341E1
9.100789166E-1,2.737179646E1,-1.812157381E0,6.380370623E-1,2.743913714E1
9.200329166E-1,2.382421120E1,-4.421596649E0,-5.553089011E-1,2.423740754E1
9.299869167E-1,1.870933943E1,-5.424795837E0,9.647946757E-1,1.950381041E1
9.399409167E-1,1.329138542E1,-6.373805954E0,-2.667078781E-1,1.474304792E1
9.498949167E-1,4.392732161E0,-8.445268638E0,2.539574397E-1,9.522770216E0
9.598489167E-1,-4.583435299E0,-9.241482823E0,2.626557577E-1,1.031900538E1
9.698029167E-1,-1.207179540E1,-6.786142246E0,6.092009336E-1,1.386185762E1
9.797569166E-1,-1.578625552E1,-3.127953395E0,3.909413302E-1,1.609791262E1
9.897109166E-1,-1.835848895E1,-1.215820102E0,6.339621377E-1,1.840962365E1
9.996649167E-1,-2.127293068E1,-6.848456316E-1,8.061345720E-1,2.129921234E1
1.009618917E0,-2.305638993E1,3.094182070E-1,-1.306059231E0,2.309542480E1
1.019572917E0,-2.233346357E1,5.649330526E-1,-5.154320598E-3,2.234060812E1
1.029526917E0,-1.966040426E1,1.797388593E-1,-1.767256612E-1,1.966202008E1
1.039480917E0,-1.697915183E1,-5.493649140E-1,-8.753106415E-2,1.698826243E1
1.049434917E0,-1.521862887E1,-4.495350357E-1,-7.712477446E-3,1.522526866E1
1.059388917E0,-1.500061777E1,4.594858273E-1,-9.302043021E-2,1.500794168E1
1.069342917E0,-1.523227627E1,1.856382504E0,-7.062384009E-2,1.534514204E1
1.079296917E0,-3.833772083E1,3.916427622E0,-1.283128790E0,3.855860038E1
1.089251292E0,-7.569890168E0,5.819252513E0,1.081913236E0,9.609238951E0
1.099205292E0,1.968336218E0,7.409216722E-1,1.970049745E-1,2.112373867E0
1.109159292E0,-2.693266121E0,-1.235093183E0,-3.078670138E-1,2.978912497E0
1.119113292E0,5.331179228E-2,-6.750384622E-1,-4.214883542E-1,7.976036017E-1
1.129067292E0,2.947669667E-1,5.265982317E-2,-1.927885473E-2,3.000538216E-1
1.139021292E0,4.901250912E-1,-1.221970204E0,1.650084257E-2,1.316702723E0
1.148975292E0,1.074174007E0,-2.385515759E0,1.485719025E-2,2.616248454E0
1.158929292E0,-2.472066099E-1,-1.101464936E0,-3.363493860E-2,1.129365938E0
1.168883292E0,-2.445548245E0,-1.760486121E0,-1.144645089E-1,3.015480016E0
1.178837292E0,-5.932886498E-1,-1.158234310E0,-3.841971517E-2,1.301911754E0
1.188791292E0,4.979855032E-1,-1.260927205E-1,-4.096442342E-2,5.153319508E-1
1.198745292E0,1.399245430E0,5.947233738E-1,-3.677080035E-2,1.520833902E0
1.208699292E0,1.399001455E0,9.355071419E-1,-4.620002031E-2,1.683601237E0
1.218653292E0,8.609881061E-1,9.333811674E-1,-7.643948078E-2,1.272141469E0
1.228607292E0,2.666135735E-1,8.511531624E-1,-9.335606039E-2,8.968053621E-1
