time,x,y,z,norm
6.819785833E-1,-7.503636830E-2,8.898286933E-1,-3.441255981E-1,9.569994708E-1
6.919345833E-1,-2.779780939E-2,8.987602421E-1,-3.599411470E-1,9.685557910E-1
7.018895833E-1,6.137208313E-2,8.438430465E-1,-3.179020053E-1,9.038248197E-1
7.118455833E-1,1.636956527E-1,7.515419700E-1,-2.693742085E-1,8.149687501E-1
7.218015833E-1,2.175824593E-1,6.620379091E-1,-2.941792667E-1,7.564243258E-1
7.317565833E-1,1.824772017E-1,6.135666110E-1,-3.389215761E-1,7.243132955E-1
7.417125833E-1,1.531488837E-1,5.830657069E-1,-4.362321085E-1,7.441227396E-1
7.516675833E-1,1.612643804E-1,6.023849074E-1,-4.791606116E-1,7.864277899E-1
7.616235833E-1,1.928280891E-1,6.575886896E-1,-4.682409364E-1,8.299729701E-1
7.715785833E-1,2.057672464E-1,6.607861664E-1,-4.562225693E-1,8.289255396E-1
7.815345833E-1,2.400061658E-1,6.288928210E-1,-4.630024159E-1,8.169947228E-1
7.914895833E-1,3.230140067E-1,6.238573451E-1,-4.998047912E-1,8.621721782E-1
8.014455833E-1,3.470926215E-1,5.888934805E-1,-5.019659221E-1,8.480793632E-1
8.114005833E-1,3.008850363E-1,6.014723763E-1,-5.035002315E-1,8.401269592E-1
8.213565833E-1,2.657392503E-1,6.537909231E-1,-5.109063148E-1,8.712549471E-1
8.313115833E-1,1.733109969E-1,6.611227468E-1,-4.890675491E-1,8.404207610E-1
8.412675833E-1,1.003557622E-1,6.921947777E-1,-3.517924672E-1,7.829194270E-1
8.512235833E-1,1.514236627E-1,7.416930661E-1,-2.852874058E-1,8.089663985E-1
8.611785833E-1,1.669889507E-1,7.999300915E-1,-3.615736896E-1,8.935933046E-1
8.711345833E-1,1.444110969E-1,8.166855072E-1,-4.675480413E-1,9.520666750E-1
8.810895833E-1,1.287349676E-1,8.661971712E-1,-5.638692248E-1,1.041546319E0
8.910455833E-1,1.368117631E-1,9.525908057E-1,-6.131711930E-1,1.141107188E0
9.010005833E-1,1.185713373E-1,1.036331266E0,-6.220706552E-1,1.214501361E0
9.109565833E-1,1.191372382E-1,1.122540860E0,-6.154586238E-1,1.285721969E0
9.209115833E-1,1.107888760E-1,1.145472689E0,-5.781814545E-1,1.287895823E0
9.308675833E-1,1.238339045E-1,1.120677352E0,-5.624319792E-1,1.259992974E0
9.408225833E-1,2.000052539E-1,1.108513974E0,-5.525805902E-1,1.254651601E0
9.507785833E-1,2.145724588E-1,1.123120246E0,-5.081025749E-1,1.251242843E0
9.607335833E-1,1.904499534E-1,1.126349736E0,-4.069825816E-1,1.212670497E0
9.706895833E-1,2.143194571E-1,1.180897826E0,-2.618985432E-1,1.228431257E0
9.806455833E-1,2.941594227E-1,1.222359043E0,-1.145107019E-1,1.262459543E0
9.906005833E-1,3.788258263E-1,1.214578080E0,-2.381512463E-2,1.272507792E0
1.000556583E0,4.364077077E-1,1.217737843E0,-1.101720679E-1,1.298258459E0
1.010511583E0,4.090683931E-1,1.246683387E0,-2.191799551E-1,1.330261730E0
1.020467583E0,3.522488790E-1,1.280150657E0,-3.144708592E-1,1.364462128E0
1.030422208E0,2.932628618E-1,1.291744663E0,-3.739206702E-1,1.376380778E0
1.040378208E0,2.011987803E-1,1.286083827E0,-4.104645985E-1,1.364907962E0
1.050333208E0,1.166758162E-1,1.281870469E0,-3.620069683E-1,1.337106649E0
1.060289208E0,3.640564173E-2,1.218119447E0,-2.141963732E-1,1.237344109E0
1.070244208E0,1.138785448E-2,1.219342026E0,2.207733214E-2,1.219595043E0
1.080200208E0,-1.150183864E-2,1.338056949E0,2.487183344E-1,1.361025166E0
1.090155208E0,7.786883265E-3,1.412551208E0,3.710093415E-1,1.460482619E0
1.100111208E0,9.000816397E-2,1.451405371E0,3.798286968E-1,1.502979993E0
1.110067208E0,9.595346667E-2,1.494141939E0,3.405658132E-1,1.535464840E0
1.120022208E0,4.298964310E-2,1.473974600E0,3.586541748E-1,1.517590870E0
1.129978208E0,1.289533976E-2,1.351851408E0,4.156043011E-1,1.414353370E0
1.139933208E0,2.732875306E-2,1.254512371E0,3.796369082E-1,1.310981438E0
1.149889208E0,7.413428910E-2,1.197515467E0,3.246508616E-1,1.242955095E0
1.159844208E0,1.251836246E-1,1.165675258E0,3.028705680E-1,1.210867593E0
1.169800208E0,1.557228645E-1,1.104845212E0,4.506221062E-1,1.203325739E0
1.179755208E0,2.285121844E-1,1.055028177E0,7.680487329E-1,1.324840039E0
1.189711208E0,3.252239253E-1,1.033086939E0,1.048447282E0,1.507408679E0
1.199666208E0,3.898878081E-1,1.070774802E0,1.214062064E0,1.665087948E0
1.209622208E0,3.700658201E-1,1.211507854E0,1.284575391E0,1.804115830E0
1.219577208E0,2.526630854E-1,1.296619779E0,1.206869988E0,1.789300605E0
1.229533208E0,1.100329041E-1,1.190368123E0,7.917521757E-1,1.433860180E0
1.239489208E0,-2.003355120E-1,9.979670995E-1,3.096486604E-1,1.063933711E0
1.249444208E0,-5.514951278E-1,1.019759380E0,-6.728332579E-2,1.161285113E0
1.259400208E0,-9.840358890E-1,9.778146708E-1,-1.860127938E-1,1.399660288E0
1.269355208E0,-1.542150796E0,4.574390826E-1,2.336214083E-1,1.625441034E0
1.279311208E0,-1.831443398E0,-3.369820547E-1,9.997867531E-1,2.113602464E0
1.289266208E0,-1.557164691E0,-1.005478725E0,1.886477830E0,2.644720769E0
1.299222208E0,-9.380481957E-1,-1.372856946E0,2.616367049E0,3.100007604E0
1.309177208E0,-3.058027274E-1,-1.614008837E0,2.827691855E0,3.270226454E0
1.319133208E0,1.252108142E-1,-1.558647691E0,2.228873237E0,2.722670799E0
1.329088208E0,2.656960905E-1,-1.417230442E0,1.275149680E0,1.924874865E0
1.339044208E0,3.243226866E-1,-1.087210375E0,3.635845470E-1,1.191387983E0
1.348999208E0,2.242624281E-1,-7.490789035E-1,-2.619722182E-1,8.246467628E-1
1.358955208E0,-1.107206463E-1,-5.036255081E-1,-4.763410842E-1,7.019961129E-1
1.368910208E0,-4.550774287E-1,-3.501903301E-1,-4.563734275E-1,7.334885403E-1
1.378866208E0,-5.650323456E-1,-4.169288416E-1,-4.130905831E-1,8.146993558E-1
1.388822208E0,-5.895402191E-1,-5.938864911E-1,-2.759757149E-1,8.811477909E-1
1.398777208E0,-6.541025797E-1,-8.199775627E-1,-1.516761893E-1,1.059820293E0
1.408733208E0,-7.329592994E-1,-1.007081301E0,-1.324084443E-1,1.252586954E0
1.418688208E0,-7.333678736E-1,-1.087368688E0,-2.632708848E-1,1.337725929E0
1.428644208E0,-6.210115052E-1,-1.042556504E0,-4.597490251E-1,1.297670421E0
1.438599208E0,-4.730344107E-1,-9.221164334E-1,-6.320857662E-1,1.213916260E0
1.448555208E0,-3.702964928E-1,-7.466928010E-1,-8.047078514E-1,1.158544068E0
1.458510208E0,-2.397737756E-1,-6.082757579E-1,-9.276958466E-1,1.134949534E0
1.468466208E0,-1.843651946E-1,-5.352254695E-1,-9.344464570E-1,1.092541537E0
1.478421208E0,-1.957603946E-1,-5.164917214E-1,-7.604017442E-1,9.398386261E-1
1.488377208E0,-1.854756905E-1,-5.319789492E-1,-4.518927062E-1,7.222256240E-1
1.498332208E0,-9.525794037E-2,-5.614155869E-1,-1.179950577E-1,5.815362156E-1
1.508288208E0,9.594191842E-2,-6.267608531E-1,8.758368909E-2,6.400819645E-1
1.518244208E0,2.163892618E-1,-6.931545250E-1,7.138222396E-2,7.296457566E-1
