x,y,z
2733,6.2048435E-5,-0.004143633,0.051962852
2752,0.010806382,-0.0017295107,0.05675316
2771,0.01071918,-0.008925118,0.044787407
2790,0.009382725,-0.007595554,0.05197811
2809,-0.00849092,-4.9611926E-4,0.06394386
2828,-0.009754062,0.016399786,0.050772667
2847,-0.001222074,0.004485823,0.04957676
2866,0.0060006976,-0.020319868,0.05436325
2885,0.0012091994,-0.008517183,0.044787407
2904,-0.0072062016,0.009437658,0.047183037
2923,-0.0061041713,0.0045378283,0.061553
2943,0.0080109835,-0.0048923045,0.05438614
2961,0.008104205,-0.0022955164,0.051987648
2981,-0.0037968159,0.0061489046,0.05318165
3000,-2.0480156E-4,-0.0045328364,0.04719639
3018,0.010711253,-0.017366316,0.054372787
3037,0.0273934,-0.024017274,0.04839325
3057,0.014300108,-0.0039336085,0.044796944
3076,-0.015696824,0.01357954,0.053178787
3094,-0.015652537,0.003943637,0.05916214
3114,-0.0037283301,0.0014434457,0.05557251
3132,0.0071409345,0.00270845,0.057961464
3152,0.004734397,0.0029891357,0.045991898
3171,0.016659737,-0.009776294,0.05557251
3190,9.838343E-4,-0.011318557,0.06515598
3209,-0.00254637,-0.010077655,0.030438423
3228,0.0034903288,-0.012462124,0.061559677
3247,0.013147235,-0.006109953,0.06993294
3266,-0.0059350133,0.018660337,0.030426025
3285,-0.011865377,0.02203419,0.054354668
3304,-0.0020705462,0.0053642616,0.089063644
3324,-0.0019504428,0.012441203,0.048357964
3343,-0.0054707527,-0.0018389523,0.03638363
3361,0.0052915215,-0.016101547,0.060325623
3380,0.026706994,-0.024063468,0.050756454
3400,0.025723457,-0.008662164,0.045954704
3418,0.007979095,0.016419008,0.07586956
3438,-0.010006249,0.017337367,0.049536705
3457,-0.01850599,0.010088451,0.03757286
3476,-0.010150671,0.0015484765,0.07707691
3495,0.0017017722,-0.014072552,0.054338455
3514,0.02795899,-0.0101249665,0.037584305
3533,0.037375867,-0.01223097,0.06273174
3552,0.021586299,-0.0027782023,0.06753349
3571,-0.0010408163,0.0052201897,0.04238987
3590,-0.0271281,0.02167669,0.0519495
3609,-0.029379845,0.019357286,0.07109451
3628,-0.009003758,0.002986446,0.0543375
3647,0.011258185,-0.00997816,0.044765472
3666,0.035048783,-0.008227304,0.06871605
3685,0.02540481,-0.002303183,0.06153965
3704,0.003845632,-0.002678834,0.045978546
3723,-0.005601883,-0.006233692,0.042380333
3743,-0.016328454,0.010507375,0.061530113
3762,-0.022535026,0.019986168,0.05436039
3780,0.0013994575,0.0031204894,0.034009933
3800,0.0038437843,-0.009965301,0.07111454
3819,0.021629393,-0.009418279,0.07591343
3838,0.013154566,-0.00882975,0.032824516
3857,0.010731816,0.0067035705,0.060358047
3876,-0.0011210442,-0.0012166947,0.09147644
3895,-0.010730803,-0.0061500594,0.0064888
3914,-0.010469496,0.010575883,0.073506355
3932,-0.0070228577,0.011931688,0.085487366
3952,-9.816885E-4,0.007120855,0.01246357
3971,2.7877092E-4,0.002453141,0.07829952
3990,0.025292695,-0.0054946393,0.05077648
4009,0.029991448,-0.014161155,-6.914139E-4
4028,0.022979856,-0.016121633,0.0902729
4047,0.00751549,-0.0054965094,0.069919586
4066,-0.013998389,0.009459831,0.012457848
4086,-0.02264458,0.012257077,0.11900902
4104,-0.009896517,0.021726489,0.03523445
